"","P_GSM208636.cel","P_GSM208637.cel","P_GSM208638.cel","P_GSM208639.cel","P_GSM208640.cel","P_GSM208641.cel","P_GSM208642.cel","P_GSM208643.cel","P_GSM208644.cel","P_GSM208653.cel","P_GSM208654.cel","P_GSM208655.cel","P_GSM208656.cel","P_GSM208657.cel","P_GSM208658.cel","P_GSM208659.cel","P_GSM208660.cel","P_GSM208661.cel","P_GSM208662.cel","P_GSM208663.cel","P_GSM208664.cel","P_GSM208665.cel","P_GSM208666.cel","P_GSM208667.cel"
"NCAM1",254.241456323933,262.748939262662,596.443550041329,173.470905219872,253.687724330768,370.279337005398,278.250203061367,337.489054712515,261.34610398867,343.804179021962,193.548824291904,511.969342535426,277.707775702862,302.548699641574,403.971112718316,308.861303551896,105.2517599585,165.112244543099,340.075569057749,304.317713808306,164.987978126951,294.369860256214,323.463408830506,236.942867414127
"RPS19",2527.50376172755,3274.57220457529,2358.77559711999,3093.44740076975,3117.91514970574,1826.52819388772,2646.0640769387,2208.67748772451,2780.79362249558,2861.56626479281,4263.79139003229,2126.57456486135,3037.31320328272,3719.45097787277,2217.36229497395,2514.15556174766,2444.85873737163,2219.16018412658,2002.83328442994,2772.02702842425,2513.17506187436,2688.32858106045,2603.73565038105,3241.74280867994
"TRAPPC2",44.4055626174798,54.8882351516957,54.547508075799,46.5856938649162,55.9938341781895,64.7364465480754,63.292573204117,44.7552307417521,49.2618698625796,55.3493540046393,73.3895649857294,73.0273726527596,64.6444690750795,76.3012351498708,73.9980163500533,56.6293660035898,56.4178049054238,52.3740187912231,80.1361874527394,61.5197075465928,59.9092581296304,50.8132725334538,67.4052761907242,67.7498559388354
"USP11",656.338226628819,545.770959909569,866.835953192355,771.447415476011,645.432044619087,820.780902454764,407.927425537023,719.863310187622,770.630176151694,690.24736400323,546.232216457847,917.881816372409,644.694535835774,764.807216292093,862.52824623278,801.099860110843,541.254753217688,682.816060104341,894.450952888989,773.688226628819,673.90682940792,586.48694022139,801.654099910116,716.135662526254
"BECN1",99.889839239155,175.834516401141,216.388969582852,126.09179179639,122.291085986335,160.753612159381,114.333767233626,119.446523396793,142.748045376735,113.839484102816,162.879117878871,199.677356123864,133.454863109395,129.386122417233,144.647591183154,92.5445114257243,124.696470715322,124.187578553878,159.510628207051,118.666950157902,126.204102296581,105.30340044174,142.673410306501,165.460494767846
"BEGAIN",116.967136171406,110.606528444993,98.7369331618887,107.185665330561,100.396317412322,136.098252860917,93.6267365637845,95.0756270452404,118.498524689117,96.9172052363802,119.66017498337,104.200366500803,104.234178553169,97.7478456665587,116.134020834299,132.473206285761,103.682255377697,122.541051621967,114.252862707747,97.6325908519686,130.792585271907,88.9222425294504,116.134020834299,101.396511459234
"KRT18",62.4891507046394,52.3844073448074,51.035684193229,73.8709318117249,70.5754815718307,47.0505918604838,58.1116364741253,58.6612996341109,63.2276499008994,58.7946771549657,59.8572895278758,56.3232145119682,60.0984872077998,60.4912232326907,51.7246326863466,60.4513262887029,54.7849154037345,73.8751531364626,76.0220846417875,63.3438496239522,64.8055309874768,62.4091678269297,51.7992678260651,51.3303465683319
"SRPK1",120.906693732935,128.814286712376,114.554289019152,145.436459184709,84.2515519784967,115.350140014495,123.074593084409,99.2828693613312,109.727832182442,117.113317531886,100.683754625956,105.936349699012,119.542716319025,97.1971334447956,91.3837170904112,112.341584281543,119.26560404963,104.190861091355,120.74642692958,100.126946306264,96.4259414491055,111.279646212663,120.652577891421,138.050313278921
"CYLD",121.228259132485,142.221324838362,147.412594927357,110.749484083654,148.416989297037,162.958740078233,105.445080427195,95.3623622838487,132.280866878318,153.984138652667,166.612135825245,163.92027841391,125.510177673025,137.194840870346,186.295444536334,106.97703145273,139.852496638471,105.447683741588,217.423967216023,88.8200174434865,113.001996807571,181.579367418593,163.371107361496,156.712092900789
"RAD52",22.8985089634628,35.6531477232105,18.5488503803015,19.10685527381,23.8278518022445,18.8056959658285,25.4646690876854,19.7985075762059,16.2123504803747,26.7274027776064,15.7137726744339,19.6186818018457,18.8121785546329,20.0092837973901,21.4903850941201,16.9830020331079,19.3985358763929,17.2350186489037,17.489592372563,22.1910996565985,18.0615537893941,15.7036081255405,20.8010659347616,19.7516441088588
