"","P_GSM508710.CEL","P_GSM508711.CEL","P_GSM508712.CEL","P_GSM508713.CEL","P_GSM508714.CEL","P_GSM508715.CEL","P_GSM508716.CEL","P_GSM508718.CEL","P_GSM508728.CEL","P_GSM508731.CEL","P_GSM508732.CEL"
"RELA",356.800698306156,511.865268574613,467.885104086717,459.485328892149,648.977402087253,415.186046659743,422.40121589302,478.564549558766,560.988603424911,599.867501841078,380.436601362421
"H2AFX",478.721090933002,321.491464751655,663.807067197914,816.467806299754,457.404790816925,543.693259246263,683.472446743192,446.629077688474,450.169600833431,527.401318626647,1073.60363669867
"IGF1",50.6954083214762,49.2351604495486,54.9328187703516,46.8410229328621,54.4624471210359,42.6671745826303,47.41833397074,46.710072981203,40.9264222862247,50.3496652429308,44.5844159548974
"PID1",185.796992993293,198.773040921745,259.754020955429,216.008197701162,135.061543689025,373.287685054022,160.053610234155,351.518152045443,341.731209464972,475.965261000414,207.32707772103
"HMGB3",336.111399176939,310.196604846394,236.885005367211,283.838081964436,197.077778129865,364.219448216883,228.120971448184,304.433660813513,190.302422893866,220.970102963012,260.989729700802
"MAP3K3",350.298554860372,379.046817603085,312.407723715971,333.059602443648,353.62778372837,269.304108726261,363.494915286262,360.980389248169,333.098321875999,366.370730614641,476.603129732686
"TOX4",546.573973364894,388.827669685535,533.39424330089,421.964894347709,447.393988385006,467.34951742893,427.80625373844,597.911164892228,456.843529260634,453.842112897503,403.491973258336
"SF3A2",102.983655474055,99.9442107049766,123.37767878892,144.060732822325,109.795433469874,112.878980857595,157.448340886582,132.74684603635,90.8424243122295,94.569300862544,147.198414148614
"CALR",239.769168258061,207.082306303526,279.626489539325,403.253528373146,173.664085524081,229.539560185021,332.281140500553,266.930164037584,178.792863808758,193.903320543001,583.965444695066
"APLP1",2500.90243408648,1346.21306040376,3406.35192446592,2645.88418630824,1500.44363723321,1501.74936809389,2026.90453878181,2367.19997622338,1475.37291721579,1219.59940287567,1106.04195097121
"PFDN4",72.1152513215072,73.8979205989007,77.1114272187682,60.6365718574653,80.5257564961996,92.2216098908825,66.3096021247901,78.688467126494,83.123985920888,87.022832091869,86.402798661938
"LRRC1",135.393023072381,107.478367551509,74.8197122166761,148.509700518373,82.0537911237102,81.9349374320812,106.214376132098,71.0502040834292,148.28005806642,144.775863079023,76.0471370779085
"TLE2",570.687240464064,662.089217500236,558.188557497334,679.240523698343,544.589701469168,645.868174928995,715.489009726774,543.764685617636,379.711303977696,455.651177826671,623.889340609526
"PTDSS1",639.962753368464,732.167800282167,1066.91227601688,542.039073141318,748.309483621912,818.929137701274,497.242782752832,1263.11504040303,761.295228343546,842.026287576241,515.31705293566
"NDUFS1",118.336110461955,110.735465971724,116.886564484092,138.686619813501,79.7401986021448,107.507269751031,100.477372899554,145.631627684946,118.005016291359,165.00709005914,139.94386775594
"ZFYVE26",119.775485682274,121.826996817961,119.114248928706,129.389574114956,137.323654206539,127.242215645715,143.366200236463,110.986333867898,127.837951545737,136.1099074107,121.191648134948
"HEXA",509.871980915911,514.478427072143,673.382635117116,542.395763083165,514.289772980692,414.388523533897,496.920064578831,630.411305559336,364.484980060941,440.675127979023,392.718023514519
