Rank,ID,Entrez ID,Master molecule name,Maximal radius,Reached from set,Reachable total,Score,FDR,Z-Score,Ranks sum,Hits,Hit names
39,Q14814,4209,mef2d,4,31,3502,0.51640016,0.032,1.7505962,98,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1"",""xrcc2""]"
40,P29466,834,casp1,4,31,3352,0.448,0.042,1.7984406,99,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""7516"",""8061"",""8452"",""860"",""8766"",""8803"",""9892""]","[""anxa7"",""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""rab11a"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1"",""xrcc2""]"
41,O75935,11258,dctn3,4,29,3137,0.38536552,0.034,2.1886046,100,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1"",""xrcc2""]"
42,P10747,940,cd28,4,31,3522,0.5722137,0.029,1.6500295,101,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8766"",""8803"",""9892""]","[""anxa7"",""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""rab11a"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
43,Q8WXE9,85439,ston2,4,24,2814,0.3114453,0.022,2.447284,102,"[""10987"",""11315"",""1978"",""2060"",""22858"",""29108"",""310"",""3164"",""4591"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""7336"",""7341"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
44,P52566,397,arhgdib,4,22,2473,0.28764796,0.016,2.694439,104,"[""10987"",""1978"",""2060"",""22858"",""27020"",""3164"",""4591"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""860"",""8803"",""9892""]","[""cops5"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nptn"",""nr4a1"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
45,Q53EL6,27250,pdcd4,4,29,3287,0.40609774,0.03,1.9301383,104,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
46,P22528,6699,sprr1b,4,29,3270,0.39399016,0.019,2.009204,105,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
47,Q99576,1831,tsc22d3,4,30,3361,0.43121085,0.037,1.7799137,105,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
48,P21741,4192,mdk,4,33,3640,0.62886024,0.02,1.5965537,106,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""57142"",""5901"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8766"",""8803"",""9892""]","[""anxa7"",""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""rab11a"",""ran"",""rtn4"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
49,P28069,5449,pou1f1,4,29,3270,0.39399016,0.021,1.978483,106,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
50,Q6ULP2,54812,aftph,4,29,3270,0.39399016,0.019,1.999584,106,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
51,Q9H1H9,63971,kif13a,4,29,3271,0.39397836,0.017,2.0100546,106,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
52,P52655,2957,gtf2a1,4,24,2814,0.3114453,0.027,2.328851,107,"[""10987"",""11315"",""1978"",""2060"",""22858"",""29108"",""310"",""3164"",""4591"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""7336"",""7341"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
53,Q99627,10920,cops8,4,29,3270,0.39399016,0.022,1.970783,108,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
54,Q9UER7,1616,daxx,4,32,3441,0.5932045,0.008,1.5903636,108,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""57142"",""5901"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""ran"",""rtn4"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1"",""xrcc2""]"
55,P42338,5291,pik3cb,4,27,3033,0.353026,0.029,2.1766665,109,"[""10987"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""860"",""8766"",""8803"",""9892""]","[""anxa7"",""cops5"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""rab11a"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
56,P53539,2354,fosb,4,29,3270,0.39398742,0.021,1.9820416,109,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
57,P63279,7329,ube2i,4,32,3501,0.53799534,0.046,1.6186763,109,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""5901"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""ran"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1"",""xrcc2""]"
58,O14763,8795,tnfrsf10b,4,22,2382,0.2835886,0.018,2.6558762,112,"[""10987"",""11315"",""1978"",""2060"",""22858"",""29108"",""3164"",""4591"",""54205"",""5478"",""5515"",""5604"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nr4a1"",""park7"",""ppia"",""ppp2ca"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
59,P01100,2353,fos,4,34,3649,0.7000258,0.005,1.4459724,112,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""57142"",""5901"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""7516"",""8061"",""8452"",""860"",""8766"",""8803"",""9892""]","[""anxa7"",""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""rab11a"",""ran"",""rtn4"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1"",""xrcc2""]"
60,Q9NY26,27173,slc39a1,4,23,2289,0.2830693,0.029,2.6632574,112,"[""10987"",""11315"",""1978"",""2060"",""3164"",""4591"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""map2k1"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1"",""xrcc2""]"
61,Q9UI14,10567,rabac1,4,20,1850,0.25680992,0.031,2.765063,113,"[""10987"",""1978"",""2060"",""310"",""3164"",""4591"",""5291"",""54205"",""5515"",""5604"",""5861"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""map2k1"",""nr4a1"",""pik3cb"",""ppp2ca"",""rab1a"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
62,Q9Y618,9612,ncor2,4,32,3460,0.54662436,0.027,1.5738,113,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""47"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""acly"",""anxa7"",""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1"",""xrcc2""]"
63,O60869,8721,edf1,4,29,3280,0.4059239,0.034,1.7857856,114,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
64,P10415,596,bcl2,4,34,3714,0.67222685,0.042,1.3281592,114,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""57142"",""5901"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""7516"",""8061"",""8452"",""860"",""8766"",""8803"",""9892""]","[""anxa7"",""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""rab11a"",""ran"",""rtn4"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1"",""xrcc2""]"
65,P62333,5706,psmc6,4,15,1186,0.20497553,0.011,3.983602,114,"[""10987"",""2060"",""3164"",""5230"",""54205"",""5478"",""5515"",""5604"",""5706"",""6596"",""7341"",""7409"",""8061"",""860"",""9892""]","[""cops5"",""cycs"",""eps15"",""fosl1"",""hltf"",""map2k1"",""nr4a1"",""pgk1"",""ppia"",""ppp2ca"",""psmc6"",""runx2"",""snap91"",""sumo1"",""vav1""]"
66,Q9Y6X2,10401,pias3,4,31,3286,0.40451884,0.046,1.8090141,114,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""7516"",""8061"",""8452"",""860"",""8766"",""8803"",""9892""]","[""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""rab11a"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1"",""xrcc2""]"
67,O14818,5688,psma7,4,24,2317,0.26883042,0.024,2.6716554,115,"[""10987"",""11315"",""1978"",""2060"",""27020"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
68,P30626,6717,sri,4,22,2105,0.26482338,0.029,2.6813133,115,"[""10987"",""1978"",""2060"",""27020"",""29108"",""310"",""3164"",""4591"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""6596"",""7336"",""7341"",""7409"",""8061"",""8452"",""860"",""8803""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""map2k1"",""nptn"",""nr4a1"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""pycard"",""runx2"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
69,Q14790,841,casp8,4,32,3501,0.57579535,0.033,1.451853,115,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""57142"",""6596"",""6812"",""7336"",""7341"",""7409"",""7516"",""8061"",""8452"",""860"",""8766"",""8803"",""9892""]","[""anxa7"",""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""rab11a"",""rtn4"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1"",""xrcc2""]"
70,Q96GM5,6602,smarcd1,4,29,3271,0.39397836,0.019,1.9600077,115,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
71,P56279,8115,tcl1a,4,30,3337,0.4217077,0.042,1.6912684,116,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8766"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""rab11a"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
72,Q14145,9817,keap1,4,19,1475,0.21436279,0.021,3.3032064,116,"[""10987"",""11315"",""1978"",""2060"",""3164"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""7341"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""map2k1"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""runx2"",""snap91"",""sucla2"",""sumo1"",""vav1""]"
73,Q9UPW5,23287,agtpbp1,4,29,3330,0.42089772,0.034,1.7342297,116,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
74,P35453,3239,hoxd13,4,29,3272,0.39396656,0.023,1.9337763,118,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
75,P35613,682,bsg,4,22,2230,0.26439357,0.031,2.6607635,119,"[""10987"",""1978"",""2060"",""22858"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""860"",""8803"",""9892""]","[""cops5"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nr4a1"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
