Rank,ID,Entrez ID,Master molecule name,Maximal radius,Reached from set,Reachable total,Score,FDR,Z-Score,Ranks sum,Hits,Hit names
104,Q9BYV9,60468,bach2,4,25,2147,0.24268311,0.024,2.1257172,157,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""runx2"",""snap91"",""stxbp1"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
105,P67870,1460,csnk2b,4,20,2334,0.25078052,0.023,2.0175884,160,"[""10987"",""1978"",""2060"",""22858"",""29108"",""3164"",""4591"",""5230"",""54205"",""5478"",""5515"",""5604"",""6596"",""7336"",""7341"",""7409"",""8061"",""860"",""8803"",""9892""]","[""cops5"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nr4a1"",""pgk1"",""ppia"",""ppp2ca"",""pycard"",""runx2"",""snap91"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
106,Q13569,6996,tdg,4,25,2722,0.29779604,0.048,1.749551,170,"[""10987"",""11315"",""1978"",""2060"",""29108"",""310"",""3164"",""4591"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""map2k1"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1"",""xrcc2""]"
107,P53701,3052,hccs,4,20,2335,0.25074938,0.028,1.9438647,173,"[""10987"",""1978"",""2060"",""22858"",""29108"",""3164"",""4591"",""5230"",""54205"",""5478"",""5515"",""5604"",""6596"",""7336"",""7341"",""7409"",""8061"",""860"",""8803"",""9892""]","[""cops5"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nr4a1"",""pgk1"",""ppia"",""ppp2ca"",""pycard"",""runx2"",""snap91"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
108,P20472,5816,pvalb,4,27,2810,0.3011367,0.045,1.6381495,175,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""29108"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
109,P61088,7334,ube2n,4,24,2498,0.28416264,0.047,1.7575636,175,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""3164"",""4591"",""5230"",""54205"",""5478"",""5515"",""5604"",""57142"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""8452"",""860"",""8803""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""pycard"",""rtn4"",""runx2"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
110,O94906,24148,prpf6,4,20,2334,0.25078052,0.027,1.914378,176,"[""10987"",""1978"",""2060"",""22858"",""29108"",""3164"",""4591"",""5230"",""54205"",""5478"",""5515"",""5604"",""6596"",""7336"",""7341"",""7409"",""8061"",""860"",""8803"",""9892""]","[""cops5"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nr4a1"",""pgk1"",""ppia"",""ppp2ca"",""pycard"",""runx2"",""snap91"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
111,Q9Y5V3,9500,maged1,4,25,2534,0.27764532,0.047,1.7635831,178,"[""10987"",""1978"",""2060"",""22858"",""27020"",""29108"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""57142"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""860"",""8803"",""9892""]","[""cops5"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""rtn4"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
112,P26378,1996,elavl4,4,28,2818,0.29094398,0.05,1.5153403,194,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""57142"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""rtn4"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
113,O15075,9201,dcamkl1,4,20,2341,0.2507051,0.047,1.6044227,205,"[""10987"",""1978"",""2060"",""22858"",""29108"",""3164"",""4591"",""5230"",""54205"",""5478"",""5515"",""5604"",""6596"",""7336"",""7341"",""7409"",""8061"",""860"",""8803"",""9892""]","[""cops5"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nr4a1"",""pgk1"",""ppia"",""ppp2ca"",""pycard"",""runx2"",""snap91"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
114,O60573,9470,eif4e2,4,23,1900,0.20590128,0.049,1.6699032,206,"[""10987"",""11315"",""1978"",""2060"",""22858"",""29108"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""6596"",""6812"",""7341"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""vav1""]"
115,Q9Y639,27020,nptn,4,18,2194,0.22998285,0.04,1.6395478,207,"[""10987"",""1978"",""2060"",""22858"",""27020"",""29108"",""3164"",""4591"",""54205"",""5478"",""5515"",""5604"",""6596"",""7341"",""7409"",""8061"",""860"",""8803""]","[""cops5"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nptn"",""nr4a1"",""ppia"",""ppp2ca"",""pycard"",""runx2"",""sucla2"",""sumo1"",""trim37"",""vav1""]"
116,Q7Z7D3,79679,vtcn1,4,23,2343,0.24110532,0.042,1.5699742,214,"[""10987"",""1978"",""2060"",""22858"",""27020"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""8061"",""860"",""8803"",""9892""]","[""cops5"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
