"","P_GSM1679692","P_GSM1679693","P_GSM1679694","P_GSM1679695","P_GSM1679696","P_GSM1679697","P_GSM1679698","P_GSM1679699","P_GSM1679700","P_GSM1679701","P_GSM1679702","P_GSM1679703","P_GSM1679704","P_GSM1679705","P_GSM1679706","P_GSM1679707","P_GSM1679708","P_GSM1679709","P_GSM1679710","P_GSM1679711","P_GSM1679712","P_GSM1679713","P_GSM1679714","P_GSM1679715","P_GSM1679716","P_GSM1679717","P_GSM1679718","P_GSM1679719","P_GSM1679720"
"PHF21A",0,13.8882443152107,9.19665965567365,11.8709289398215,19.4025802609222,10.3510075934631,13.7536973782647,8.57700241639007,29.9569834875891,12.814410659392,5.4363915407156,9.72080725419633,19.9062059517195,9.82947205557327,10.5342640766935,2.40210594979865,28.1032881465725,7.57793222623972,4.49929602369399,0,10.6371247232245,2.39910925795726,0,10.366963988715,2.01320610865933,8.24167476672997,6.58315167525346,6.56585703756235,29.1469653044237
"VCP",168.194497047792,170.446634777586,81.8502709354955,99.913651910164,101.097655043752,172.085501241323,81.2123083288013,159.844135941815,77.1968420641718,92.4468197570425,175.323627188078,147.027209719719,144.319993149966,88.4652485001594,74.4922959709037,127.311615339329,134.895783103548,132.072533085892,137.228528722667,121.174504332674,153.478513863667,135.149821531592,225.945527160796,136.365449390021,194.274389485625,128.696921357399,55.6575550725974,186.65793578213,117.559426727842
"LYPD3",7.1268854681268,8.83797365513409,4.59832982783682,10.881684861503,25.5297108696344,20.7020151869261,15.7185112894454,7.79727492399098,87.566567117568,8.23783542389488,29.9001534739358,12.1510090677454,14.9296544637896,23.3449961319865,6.77202690644579,7.20631784939596,7.02582203664312,17.3209879456908,21.3716561125465,10.0978753610562,12.1567139693994,11.9955462897863,8.95819270681569,22.3288455141554,44.2905343905053,9.50962473084228,7.18162000936741,8.44181619115159,8.7440895913271
"TONSL",203.828924388426,122.469063506858,96.5649263845733,136.515682807947,127.648554348172,155.265113901946,139.501787693828,112.28075890547,96.7841004983647,111.668435746131,111.44602658467,111.789283423258,106.166431742504,132.697872750239,119.639142013876,169.348469460805,133.490618696219,120.16435387323,89.9859204738798,80.7830028884493,117.008371955469,84.7685271144897,135.368245347437,100.479804813699,96.6338932156478,61.4955732594467,73.013136761902,144.448854826372,93.2702889741557
"CALB2",0,36.6144622855555,43.2243003816661,0,6.12713060871227,0,0,4.67836495439459,0,0,0,0,0.829425247988313,0,0,0,4.21549322198587,0,0,0,0,0,0,0,0,0,94.5579967900042,0,0
"RRP7A",75.544985962144,44.1898682756705,114.958245695921,89.031967048661,59.2289292175519,34.9346506279379,129.022780167531,27.2904622339684,99.0884838435638,104.345915369335,50.2866217516193,198.06144780425,161.737923357721,57.7481483264929,234.011151989405,126.110562364429,94.1460152910178,88.7700632216653,66.3646163494864,20.1957507221123,14.4360978386618,75.9717931686464,1.99070949040349,102.074722350425,51.3367557708129,12.0455246590669,141.836995185006,63.7826112220342,193.341536519344
"MTAP",1.42537709362536,2.52513533003831,6.43766175897155,5.93546446991073,18.3813918261368,0,4.58456579275491,3.89863746199549,12.6741083985954,5.49189028259658,5.4363915407156,13.36610997452,15.7590797117779,8.60078804862661,8.27692177454486,4.80421189959731,2.81032881465725,7.57793222623972,14.6227120770055,0,0,0,0,0,0,1.90192494616846,2.99234167056975,2.81393873038386,9.71565510147455
"HNRNPH3",106.903282021902,155.295822797356,20.232651242482,29.6773223495537,27.5720877392052,68.5754253066928,22.267890993381,127.095581261053,34.5657501779874,59.495478061463,118.241516010564,93.5627698216396,84.6013752948079,114.267612646039,9.78181664264392,26.4231654477852,36.5342745905442,74.6967605157915,91.1107444798033,161.566005776899,114.728988086207,279.096377009027,386.197641138277,112.44168633914,231.518702495823,216.819443863204,32.3172900421533,177.278140014183,101.042813055335
"PRPF4",393.404077840599,406.546788136168,482.824631922867,424.385709598617,368.649024957521,342.877126533464,393.617720206529,336.062549224011,485.072694164423,302.053965542812,429.474931716532,302.560125786861,391.488717050484,334.202049889491,450.71601299567,345.903256771006,275.41222383641,371.318679085746,372.316745960678,378.670326039606,437.641702898378,417.445010884562,335.434549132988,356.464069458124,317.079962113844,285.288741925268,443.465035578437,385.509606062589,346.848887122642
"RANBP9",2143.76714881254,2379.94004856111,2726.80958790724,1867.69281986524,1724.7872663525,1460.78594662748,1932.72195063139,1894.73780652981,1793.96243423755,1545.96711455094,913.313778840221,1838.44767194988,1626.50291130508,1588.68842098203,2136.19826526662,1688.68048270845,1846.38603122981,1626.00774340172,1830.08865763753,888.613031772942,2698.79050120667,2428.69827213873,2093.23102915927,2067.81058636447,1954.82313150821,2796.46364584969,2839.7322453707,2192.99625054582,1641.9457121492
