"","P_GSM506039_1_1364_BA9_Pm.CEL","P_GSM506040_1401_BA9_Pf.CEL","P_GSM506041_1516_BA9_Pf.CEL","P_GSM506042_1647_BA9_Pf.CEL","P_GSM506043_2515_BA9_Pf.CEL","P_GSM506044_2525_BA9_Pf.CEL","P_GSM506045_2685_BA9_Pm.CEL","P_GSM506046_2729_BA9_Pm.CEL","P_GSM506048_2977_BA9_Pm.CEL","P_GSM506059_5138_BA9_Pm.CEL","P_GSM506062_5441_BA9_Pf.CEL","P_GSM506063_5476_BA9_Pm.CEL","P_GSM506066_T72_BA9_Pm.CEL","P_GSM506068_T127_BA9_Pm.CEL"
"IQGAP2",61.6127570760843,43.8910383499425,49.0710591199574,64.1015010564935,45.9412445954805,56.2101032758512,50.2871639109314,57.2888993041766,50.073782474061,50.5910363945409,43.1306682222723,45.2811153684157,48.4220693014554,61.5989669135997
"NUDC",38.4400004765997,37.3568767704501,43.8450681174794,40.33889218903,40.1314040968165,36.0769471783174,39.5884043851496,35.7920445765995,34.3369688002847,35.6451896227705,36.1594418690167,39.3099936030187,49.8141498131822,41.8265868853448
"NOC2L",219.340910707788,159.26383672081,94.6082738134991,123.026805424218,163.444197920739,115.222331402383,107.545329483055,125.871047384185,117.646586985203,107.872543045194,98.6239654316985,108.616432201238,150.715683472343,97.924443871487
"SAP30BP",144.472308368351,124.569264565927,120.621351228887,151.948202041163,164.530593900422,177.627261993446,124.383511056809,113.5821336696,131.311502666966,154.129222007505,143.056381847864,312.130252066995,138.900144309852,99.9054159611515
"PPM1G",259.273309635622,217.301742962474,153.169553540785,179.613360597609,227.973297254622,248.880115754604,218.966765795158,184.886177811667,246.476615907557,254.208928183724,248.775874349243,364.870332010843,261.986312318679,144.576423668101
"TBP",82.4739873401094,83.8795623603378,108.297808875711,121.609666924678,90.4503456316407,86.3599911768157,108.104543996598,106.200595535363,91.95286637679,162.40618594533,117.756014901913,128.87278998031,136.740924725611,103.300801415585
"PPP2R5D",58.2338594121778,58.1456421364141,51.8162893584494,53.3685157395266,55.0636172922201,52.6389349985752,47.8462111069806,45.8605807244026,50.8158735963786,45.6043240108798,41.9027714579345,41.5511637330187,55.6590577656812,51.5144730686884
"LONP1",422.426499874195,440.436815265851,336.021072980882,295.844672707738,451.598031771822,315.920684693756,243.212955827286,246.768667663929,328.353288927799,468.420825664144,504.451315920019,508.151296743504,736.157963816146,376.080902522409
"ITGA1",27.0187821701846,26.0645439475472,26.3227396616792,27.7619943288897,27.4990988820545,28.4636878751207,26.3142778365935,26.5064236373257,27.4399406474776,26.8152241286384,26.8117966139438,28.2579141350901,26.1806019701562,26.6188113887096
"IMPAD1",218.350086939859,207.815708352685,221.932153432743,289.635708117246,215.131962288672,236.049872302654,218.663182917003,247.113178263893,218.102168623008,176.547494595926,171.251885975381,209.705101290261,196.939859546272,219.188716905757
