"","P_GSM508608.CEL","P_GSM508609.CEL","P_GSM508610.CEL","P_GSM508611.CEL","P_GSM508627.CEL","P_GSM508628.CEL","P_GSM508629.CEL","P_GSM508661.CEL","P_GSM508684.CEL","P_GSM508695.CEL","P_GSM508697.CEL","P_GSM508700.CEL","P_GSM508701.CEL","P_GSM508704.CEL","P_GSM508706.CEL"
"EPB41",20.8357758458344,20.7285675275065,20.3745662226952,19.9836041953938,21.7989564801268,24.1184184746025,21.6682669101435,20.9819916000941,21.1791226257562,20.5162272681947,19.861189421961,21.8221903017843,21.1650047486461,20.1151679445936,21.6024719811551
"ITGB1",28.4800700743135,26.7217765502397,27.8889355753732,32.4899357097251,25.4756725487679,26.6548209809355,31.1650428435576,26.1728976692849,25.2062391235931,26.8971256664106,27.8070275951809,26.9151977783583,26.97266345156,25.909737504101,25.7835052335514
"SMURF2",40.8932216944466,61.5139018534466,58.848653540414,55.8847273900363,59.4346652461863,47.0253920431624,52.2431040151006,61.5139018534466,52.2124415858665,128.195762076086,63.5790191146721,151.727301679317,78.2617062860546,54.6027535893258,70.9616879126413
"MAP2",116.519440204786,150.903587275712,163.895155804075,179.695737983055,87.7104673080187,138.089164502346,133.581649176269,110.89686054309,105.431296153299,151.740387861043,234.950252376268,123.439940347476,174.381533065531,131.758132626064,113.052182237754
"DAG1",693.145555534947,433.751423748778,417.557248672449,343.075400260943,498.430526707429,319.532594999819,741.977620430803,310.661943180444,399.331756896482,400.497984813223,516.292760174871,362.021362226004,348.407120138571,367.757427318596,644.134025380357
"NFAT5",96.4860938899089,173.424669505037,149.438446178785,108.842130294732,92.2076499276129,116.666958197355,102.432664140556,112.150315921755,85.697499027701,347.866153820942,123.800228340194,209.760447314525,181.24178412799,88.76216761703,98.5149837861591
"PKN2",71.6959955778247,69.8305912157751,61.292907526132,49.6113639829428,69.8143052803848,48.2653018384031,54.7269125044416,63.1246462935616,69.9150455270332,388.129852427359,419.472913302325,281.06849861328,358.592185643061,66.904655175879,73.8213533513713
"BHLHE40",374.741443565196,917.966649205443,490.720650178786,379.218088106053,856.843223288612,459.98545302656,262.70421586609,384.813428957765,1129.50260173846,1110.96291093378,522.206677745267,628.799482729778,898.246973653305,493.876436017091,496.379175247454
"SUMO3",154.229464170752,147.764917630993,141.090414097061,133.916791512732,151.645625959137,185.928669795513,125.865697643738,147.915717494637,158.714989489935,110.432462706978,126.360512039749,144.605256171556,137.746203995161,151.927683206151,178.976627195508
"TRAF2",151.465735901577,114.930544505558,123.549063076351,135.834940885605,132.30217939024,155.745429860933,166.12960195855,144.620793250573,130.162823002153,131.218726518777,123.306027569297,135.005115277704,123.780213495851,104.843536794302,201.948645262615
"ARF6",185.434461978758,138.058361836554,141.912465150418,102.269451460233,125.580522265059,122.072389979585,118.685153263441,79.6803311749572,145.878803259808,192.569700146183,130.656959417724,140.22139718773,161.987087950217,140.22139718773,209.966446742593
"ROBO3",153.599856567855,128.279270585568,145.057406831214,197.12531845544,247.583556269663,217.371036853448,181.278743471229,194.001405514893,140.066675428805,120.096966834573,163.768543359387,149.634733774187,107.10607889727,120.501534651685,204.084256243052
"CAST",135.273396697623,126.543051457709,152.441339005678,81.5979425488451,106.177317969909,110.617933549394,88.4002559259927,126.543051457709,150.814826650608,248.362442292309,156.110880870155,171.790737320351,183.458246688116,109.820215824711,132.796473528208
"RABGAP1",32.7080137075685,29.810452081567,31.9999100455819,29.7767353624222,30.5452719651501,37.4151333919286,29.8344025922518,30.618162608756,31.5117454625652,42.4938965889537,33.2604709383491,45.3655440693266,33.1155771019413,29.2528065883246,38.4336301292477
"TAB1",64.7670861196303,58.1352634062853,55.3519287346224,79.3064086968383,60.8489033344166,67.6425971961481,70.6880731479782,58.1927401391004,54.3296089474805,50.6880399557806,55.2998796557508,58.6604694590325,49.7596659798943,57.7260124898799,61.1681416618081
"DDOST",214.950636758803,248.886936152779,185.001437005256,163.187955246942,213.869720923413,189.713023828911,154.524190235681,177.029837849357,263.43142660643,130.972001128443,200.917264875669,230.567373179258,181.546261227905,194.289027471117,220.876467655022
