"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"12869","5.68115942","0.0","0.17602041","0.0","1","9","false","UBQLN2","7.0","1","0","0","0.63991081","false","0","UBQLN2","0","0.0"
"12871","6.01932367","0.0","0.16613162","0.0","1","10","false","CBL","6.0","1","0","0","0.61389818","false","0","CBL","0","0.0"
"12872","5.02415459","0.05693917","0.19903846","0.0","6","9","false","WNT7A","2.83333333","6","0","0","0.69044965","false","0","WNT7A","6908","0.18333333"
"12875","6.01932367","0.0","0.16613162","0.0","1","10","false","E2F2","6.0","1","0","0","0.61389818","false","0","E2F2","0","0.0"
"12877","6.01932367","0.0","0.16613162","0.0","1","10","false","GIT1","6.0","1","0","0","0.61389818","false","0","GIT1","0","0.0"
"12879","6.01932367","0.0","0.16613162","0.0","1","10","false","PIK3R2","6.0","1","0","0","0.61389818","false","0","PIK3R2","0","0.0"
"12885","6.46376812","0.00117887","0.15470852","0.0","2","11","false","YWHAZ","4.0","2","0","0","0.57971014","false","0","YWHAZ","376","0.5"
"12893","5.93719807","0.0","0.16842962","0.0","1","10","false","ANXA5","4.0","1","0","0","0.62021553","false","0","ANXA5","0","0.0"
"12896","5.20772947","0.0","0.19202226","0.0","1","9","false","AP1M2","5.0","1","0","0","0.6763285","false","0","AP1M2","0","0.0"
"12898","5.63285024","0.03073204","0.17753002","0.0","3","9","false","SH2D4A","2.66666667","3","0","0","0.6436269","false","0","SH2D4A","4384","0.33333333"
"12899","6.62801932","0.0","0.15087464","0.0","1","10","false","ARL6IP1","3.0","1","0","0","0.56707544","false","0","ARL6IP1","0","0.0"
"12901","6.4589372","0.00120332","0.15482423","0.0","2","12","false","CTBP2","2.0","2","0","0","0.58008175","false","0","CTBP2","204","0.5"
"12903","6.78743961","0.02206942","0.14733096","0.0","4","10","false","GABRR2","1.5","4","0","0","0.55481234","false","0","GABRR2","2748","0.25"
"12904","7.7826087","0.0","0.12849162","0.0","1","11","false","BTBD3","4.0","1","0","0","0.47826087","false","0","BTBD3","0","0.0"
"12908","4.4589372","0.0","0.22426869","0.0","1","8","false","RUNX2","20.0","1","0","0","0.73392791","false","0","RUNX2","0","0.0"
"12911","4.4589372","0.0","0.22426869","0.0","1","8","false","TEK","20.0","1","0","0","0.73392791","false","0","TEK","0","0.0"
"12914","4.30917874","0.01042289","0.23206278","0.0","2","8","false","TRIM25","15.5","2","0","0","0.74544779","false","0","TRIM25","5512","0.58"
"12917","7.71497585","0.0","0.12961803","0.0","1","12","false","MDFI","4.0","1","0","0","0.4834634","false","0","MDFI","0","0.0"
"12920","5.00483092","0.0","0.19980695","0.0","1","9","false","CUL3","4.0","1","0","0","0.69193608","false","0","CUL3","0","0.0"
"12922","7.56038647","0.0","0.13226837","0.0","1","11","false","CYP3A4","2.0","1","0","0","0.49535489","false","0","CYP3A4","0","0.0"
"12924","5.68115942","0.0","0.17602041","0.0","1","9","false","DNAJC3","7.0","1","0","0","0.63991081","false","0","DNAJC3","0","0.0"
"12929","5.46376812","0.0","0.18302387","0.0","1","10","false","SNX15","5.0","1","0","0","0.65663322","false","0","SNX15","0","0.0"
"12934","4.88888889","0.0","0.20454545","0.0","1","8","false","ERN1","7.0","1","0","0","0.7008547","false","0","ERN1","0","0.0"
"12936","4.92753623","0.0","0.20294118","0.0","1","9","false","ESR2","8.0","1","0","0","0.69788183","false","0","ESR2","0","0.0"
"12940","5.52173913","0.0","0.18110236","0.0","1","9","false","TRIM33","6.0","1","0","0","0.65217391","false","0","TRIM33","0","0.0"
"12948","5.37681159","0.0","0.18598383","0.0","1","9","false","LRCH4","4.0","1","0","0","0.66332219","false","0","LRCH4","0","0.0"
"12956","6.07246377","0.0","0.1646778","0.0","1","11","false","MFAP5","2.0","1","0","0","0.60981048","false","0","MFAP5","0","0.0"
"12446","6.32850242","0.02563201","0.15801527","0.0","4","10","false","LMO2","3.0","4","0","0","0.5901152","false","0","LMO2","1602","0.25"
"12447","7.3236715","0.0","0.13654354","0.0","1","11","false","A2M","4.0","1","0","0","0.51356373","false","0","A2M","0","0.0"
"12449","6.18357488","0.0","0.16171875","0.0","1","11","false","ACAT2","3.0","1","0","0","0.60126347","false","0","ACAT2","0","0.0"
"12450","5.1884058","0.01479293","0.19273743","0.0","3","10","false","ADSS","3.0","3","0","0","0.67781494","false","0","ADSS","1996","0.33333333"
"12962","6.58454106","0.0","0.15187087","0.0","1","12","false","BIRC5","6.0","1","0","0","0.57041992","false","0","BIRC5","0","0.0"
"12452","4.61352657","0.05485779","0.21675393","0.1","5","10","false","ENOPH1","4.0","5","0","0","0.72203642","false","0","ENOPH1","5728","0.22666667"
"12967","5.54589372","0.0","0.18031359","0.0","1","10","false","CASP10","11.0","1","0","0","0.65031587","false","0","CASP10","0","0.0"
"12457","4.36714976","0.05223191","0.2289823","0.0","3","9","false","ANXA7","6.0","3","0","0","0.74098848","false","0","ANXA7","5626","0.33333333"
"12969","5.54589372","0.0","0.18031359","0.0","1","10","false","WAS","11.0","1","0","0","0.65031587","false","0","WAS","0","0.0"
"12459","4.68599034","0.07266952","0.21340206","0.0","7","8","false","PDCD6IP","1.85714286","7","0","0","0.71646228","false","0","PDCD6IP","5736","0.14285714"
"12971","6.41545894","0.01398433","0.15587349","0.0","2","10","false","PNMA1","3.5","2","0","0","0.58342624","false","0","PNMA1","2052","0.5"
"12461","5.48792271","0.03881371","0.18221831","0.0","6","10","false","TMEM14B","3.16666667","6","0","0","0.65477518","false","0","TMEM14B","4998","0.1969697"
"12462","6.48309179","0.0","0.15424739","0.0","1","11","false","ARL1","6.0","1","0","0","0.57822371","false","0","ARL1","0","0.0"
"12464","4.53623188","0.11375011","0.22044728","0.0","8","10","false","RTN4","4.625","8","0","0","0.72798216","false","0","RTN4","17918","0.13942308"
"12465","5.51207729","0.00959248","0.18141981","0.0","2","11","false","ATP6V1G2","5.0","2","0","0","0.65291713","false","0","ATP6V1G2","1934","0.5"
"12978","7.57004831","0.0","0.13209955","0.0","1","13","false","PXN","2.0","1","0","0","0.49461167","false","0","PXN","0","0.0"
"12467","5.98067633","0.02896206","0.16720517","0.0","5","10","false","CRYAA","2.2","5","0","0","0.61687105","false","0","CRYAA","5188","0.24"
"12468","6.97584541","0.0","0.1433518","0.0","1","11","false","ATXN2L","5.0","1","0","0","0.54031958","false","0","ATXN2L","0","0.0"
"12470","4.00966184","0.06904642","0.24939759","0.0","4","8","false","AGPAT2","8.5","4","0","0","0.76848755","false","0","AGPAT2","13066","0.25862069"
"12471","4.58937198","0.01388328","0.21789474","0.0","3","9","false","CASP2","3.66666667","3","0","0","0.72389446","false","0","CASP2","2118","0.38095238"
"12983","5.08695652","0.0","0.1965812","0.0","1","10","false","PLA2G2A","10.0","1","0","0","0.68561873","false","0","PLA2G2A","0","0.0"
"12473","5.58454106","0.0","0.17906574","0.0","1","10","false","CDKN2A","3.0","1","0","0","0.647343","false","0","CDKN2A","0","0.0"
"12985","7.7826087","0.0","0.12849162","0.0","1","11","false","RAP1B","4.0","1","0","0","0.47826087","false","0","RAP1B","0","0.0"
"12475","3.97584541","0.13455724","0.25151883","0.0","6","8","false","TK1","5.66666667","6","0","0","0.77108881","false","0","TK1","17612","0.17948718"
"12988","6.76328502","0.0","0.14785714","0.0","1","10","false","SLC5A1","3.0","1","0","0","0.55667038","false","0","SLC5A1","0","0.0"
"12477","6.14975845","0.03952966","0.16260801","0.0","5","10","false","ABCD3","2.0","5","0","0","0.60386473","false","0","ABCD3","3512","0.2"
"12478","7.14492754","0.0","0.13995943","0.0","1","11","false","CBX1","5.0","1","0","0","0.52731327","false","0","CBX1","0","0.0"
