"","P_GSM1192704_BR34_1SN.CEL","P_GSM1192705_BR34_2SN.CEL","P_GSM1192706_BR34_3SN.CEL","P_GSM1192707_BR34_4SN.CEL","P_GSM1192708_BR34_5SN.CEL","P_GSM1192709_BR34_6SN.CEL","P_GSM1192710_BR34_7SN.CEL","P_GSM1192711_BR56_1SN.CEL","P_GSM1192712_BR56_2SN.CEL","P_GSM1192713_BR56_3SN.CEL","P_GSM1192714_BR56_4SN.CEL","P_GSM1192715_BR56_5SN.CEL","P_GSM1192716_BR56_6SN.CEL","P_GSM1192717_BR56_7SN.CEL","P_GSM1192718_BR56_8SN.CEL"
"TCF4",942.46791454591,1474.53237277189,2046.9687587106,917.960807678061,1283.26376212643,1649.92249330757,2927.22829703197,1262.12567045654,1694.48115343077,1401.6100823763,1251.82825366885,1841.50090425526,1687.67515269131,2948.93767516991,1629.9377037312
"NPC2",716.25476594491,1387.53978788881,1179.00177643367,1149.39684466984,1052.97623188004,1397.86631609601,1233.38439313356,1008.91593603947,1069.2439344921,909.909923012103,1973.45728573961,1521.39419690903,1349.36589696825,870.342585909333,1151.73438363794
"IMP4",882.089849082946,754.752459891757,490.697429695243,848.287702428022,785.328627561635,549.075995634392,356.073734153669,514.558187507027,502.930923789947,571.019263153083,614.151102735255,540.002892561207,524.283448680749,313.420942648449,598.643010298737
"TP53BP1",683.101121325256,503.286183207917,323.83027217745,704.046370822077,543.74202299599,497.757397189226,262.268858496424,448.428044132273,421.263762126424,515.24887620932,379.069860560045,457.926664835081,461.360844186949,311.10640335072,423.189948527551
"EIF4B",1109.26376212643,1073.09749501305,1263.08197889187,1236.94684605621,1211.50586973174,1717.58322553159,1096.09189831746,961.256468643204,1370.10653668193,1318.14092856626,1375.38360479745,1364.91443409922,1355.17486199841,1434.64406088067,1450.70347084114
"SMURF1",60.5869212425393,34.2771968335799,38.0197367083247,51.3385240764568,42.1192464668096,27.9158724059713,36.7084459995147,32.3543008354879,20.9406642661878,35.1988097621476,20.309855843434,27.5135943151943,28.6266613568829,29.3763508631444,33.5702806477802
"HNRNPC",1127.46757726189,1413.18273380525,2099.47639734104,1323.17680560469,1525.3782600883,1344.89641217198,1638.76077150489,1713.22897090004,1447.14481560339,1659.32414895456,1792.19448872255,1730.31971995407,1628.50487766185,1521.78550125686,1546.22354128547
"PDIA6",227.061839808194,366.656162265994,617.634566528687,412.473319369466,372.475142181502,373.568109952512,317.298442816732,432.776005902356,362.58593510908,358.009085838439,727.405676204931,533.681354614646,580.494861762695,509.637996853205,381.598366973655
"RUVBL2",851.238349264043,975.459414300338,624.460828462152,874.357061437456,841.165943598432,705.529706256309,706.080085043424,802.370685900151,641.062486930447,758.365134995018,772.116449596076,748.012693122121,708.895281634985,557.402059266022,575.263762126425
"DLGAP1",22.2836531985121,23.5585913888924,14.1283477947303,20.4627206487333,19.0916129206893,16.3291783393864,14.0487889201844,16.3222963545136,18.0963725654458,20.368393002035,13.7961976355352,12.4715032739323,17.6461598758115,11.7954843534435,14.738215494239
"SEZ6L2",230.285613885531,201.89328581716,219.24202299599,223.199758131134,216.690750680764,185.584411347795,252.220283865555,188.231515609154,178.833737120567,263.78550125686,199.4850316105,209.429090136445,155.176805604686,239.803276440391,213.127937038079
"CREG1",1202.76082297062,1133.00289256121,1100.8799436318,943.089849082947,1143.48467499167,1546.0752248691,874.350718648164,895.464094075652,1676.45990422875,1359.3252439857,1716.48115343077,1555.61234884634,2011.2713448209,974.930437085579,1089.94112037115
"YWHAZ",550.532234408115,486.350718648164,136.602518590819,459.915936039468,512.304968924532,263.118478036309,111.40122959845,319.37381374544,254.394196909034,390.866296275361,258.879039929894,202.089849082947,265.706675509515,147.127745091531,197.524631691642
"HNRNPM",646.903992385435,1310.99989925202,965.370102945217,1094.76749265513,969.369206724356,994.41469830724,1022.28313295794,1010.76643344622,953.226482932953,833.935082735227,1112.17780066176,1112.5849178398,1145.88350320887,1040.22028386556,1028.25129828093
"SATB1",1689.33245544389,1143.62176745021,1515.26940115403,1198.43727925769,1484.13882646714,972.890682781807,1086.8724577786,1270.40865697677,974.497888534225,1926.7086201564,825.274139743372,1076.98977413566,663.83348239984,1179.11842535433,802.438089015383
"RPL11",3256.64495879351,3935.72343347545,4264.3072403873,4154.21146390791,4154.15268934492,4347.91593603947,3943.00558682186,3276.21025431869,4301.27327262948,4063.5322947567,4703.80251803132,4629.56693474687,4605.73953567372,3755.49441886473,4314.4130826181
"SHANK2",271.966391709603,246.921124070321,190.322472165625,271.341854657713,246.873165528797,147.14632781233,60.0895835968649,245.307240387294,190.418072021706,289.604651500022,105.621390157119,125.073417275746,145.987042202357,143.979498828989,115.704240049156
"RALGAPA1",81.9795691296451,163.53133084322,107.588158925426,102.447336017666,104.233036867838,130.417362263982,166.575263548557,96.7855012838302,165.642273347198,193.588264827564,138.419339497196,121.655182916033,129.509517240145,257.350329531239,133.568109952512
"HSPA6",137.828565939766,53.0700987089816,133.044327846904,76.9608962355255,150.860066444132,104.601030512921,135.702879788617,201.227253195361,273.831092920993,173.544642976753,186.898869412194,128.59932377476,131.034618558967,126.481153430773,66.6808743155661
"RUNDC3A",721.545766610949,408.307240387294,467.42320851092,615.272969123095,546.468643666301,321.007180912079,233.179150388647,302.131371514632,293.953311731345,382.974317361697,298.571594669696,302.242544983535,284.032801328085,147.101192434378,303.376514341132
