"","P_GSM1192704_BR34_1SN.CEL","P_GSM1192705_BR34_2SN.CEL","P_GSM1192706_BR34_3SN.CEL","P_GSM1192707_BR34_4SN.CEL","P_GSM1192708_BR34_5SN.CEL","P_GSM1192709_BR34_6SN.CEL","P_GSM1192710_BR34_7SN.CEL","P_GSM1192711_BR56_1SN.CEL","P_GSM1192712_BR56_2SN.CEL","P_GSM1192713_BR56_3SN.CEL","P_GSM1192714_BR56_4SN.CEL","P_GSM1192715_BR56_5SN.CEL","P_GSM1192716_BR56_6SN.CEL","P_GSM1192717_BR56_7SN.CEL","P_GSM1192718_BR56_8SN.CEL"
"KIF5B",771.516580172477,1235.19919047476,1580.41921883394,1209.63944915125,1256.22538979338,1507.81580665819,1650.20476378371,1465.91715802217,1716.77027286632,1657.58094161619,1635.69374324463,1618.95975612686,1857.07779865701,2383.27152398647,1737.38525304352
"TNFRSF21",1312.61379486826,1123.59446238168,611.752033751158,1066.24411020618,999.062339642587,722.000996094689,358.372270902645,567.303528420506,657.342479390105,909.2039291615,840.32865254986,751.281186297215,788.279602668473,564.400987099482,691.063082312649
"TCF12",656.658560060998,1289.4247734962,1085.56747152512,812.381504211476,1002.88231336737,1262.36157641532,1613.14037401386,1537.72028386556,1334.44170305127,1336.27928563155,832.120460983335,1307.77662713957,1377.31120309259,1704.99711203114,1207.0208007732
"GRIN1",119.355818334265,48.1638351978215,79.5752468340697,137.605362492584,99.4002130641567,57.5254811204681,40.6220310463825,37.7178944139677,56.6862963872071,64.6924157147101,47.4085818945612,61.2284290703026,43.3882680925556,32.9200995686996,52.751206229495
"WIPF1",360.190605615308,730.54715808698,349.027433187746,404.347915087401,577.580026516653,625.524127353046,560.520708915831,541.614207358998,686.715962505298,602.934312746589,674.555909896938,752.882844918104,843.349047882,725.807240387294,992.002892561207
"CNTNAP1",1518.77490643974,668.562641665802,668.801228905922,1296.5180884635,1008.73367186853,668.913851848444,344.619510364639,684.701165720602,559.002892561207,751.762965028127,740.948002102232,596.102110457914,646.742022995991,291.592784405649,517.741304797864
"CCDC51",248.75286070902,229.325983504085,169.392384136482,210.828979517729,216.539866805061,208.027380589037,207.901730000993,188.043131832964,182.447255129947,203.990343134657,182.581257629978,203.131787657933,171.74202299599,136.668523331115,165.088262391095
"PPP2R5D",368.295569555336,302.524631691642,291.797956794873,308.481153430773,345.119720700907,239.953231870264,250.108866742325,228.144238069952,212.137186314053,263.726075435207,249.388082259955,249.004147913137,232.734880328284,183.348233799471,211.089849082947
"MOB1A",311.15316781318,322.884563852194,438.699671700118,432.696566077077,419.089849082947,609.282423139888,393.699044439032,429.508963753158,564.959414300337,555.632353423874,599.655066474251,522.089849082946,591.81935737095,523.093400596126,401.448634587869
"UBE2O",212.531597172586,140.748990182321,170.157821888126,179.975180537737,178.956106574956,150.529075779886,142.776052665171,108.827101037015,164.702720236631,168.506296184362,126.181044508008,156.804237690264,135.309373700281,148.510117257546,130.457616263302
"PCBP2",929.081680335235,1165.34462358412,1513.15108785105,1514.60222320119,721.631297407172,1577.36937954636,888.311376860174,1062.19060368854,1645.38173551215,1064.26155342661,1381.39255610643,1269.47159073972,1210.22770537886,1469.30724038729,1620.68310873671
"FAF2",713.841434866295,666.458896568103,529.01459984522,699.643138296047,719.133327343817,656.972830672921,431.289617628039,742.063859407339,655.056110469614,740.405409733494,553.670789214414,645.047163536509,596.693769929751,531.865296369842,534.090870701765
"PTMA",2946.15620677623,4289.04682738784,4523.04655404886,4102.37717480559,3720.37076688945,5081.49538558848,5316.8724577786,3941.10917595509,4500.65506647425,4057.50289256121,4478.3072403873,4602.31399212917,4802.3421338355,4926.92551570496,5256.44750315882
"DCC",326.524631691642,185.269874902343,70.5929528763823,252.037602092938,232.186824140426,124.783740088091,19.9799267457192,143.021866280147,125.736277644221,292.883815907213,59.1833987932356,78.8289834572511,61.8368832538365,21.0721793622809,69.6846836489412
"CTSS",229.828979517729,228.386985067738,262.220283865555,147.864584430571,260.989618184827,375.850352782697,230.473387164727,284.738664261222,247.626531717527,243.71912931036,338.319375575418,372.69854473512,344.351817198275,209.915936039468,161.017512323507
"HDAC1",252.47750134119,361.384119988655,431.527235381956,274.923807368754,345.110341761842,412.77658950277,522.458585398047,331.101470814019,348.704293769802,340.949421638735,407.563086020457,449.977881144023,459.278445713862,520.828979517728,327.768008352342
"TKT",85.4715795754561,81.4106922302144,123.812419204642,91.9728715119572,88.1389145385866,56.1688756952958,58.705477043413,69.3867817314559,50.512167116019,63.6560052057001,31.6807935348166,57.6061040881796,66.7856140913917,44.9751665977089,48.9976168437587
"PDS5A",155.195838844499,230.041660556159,256.369569690224,186.810953356517,219.312888127304,257.488968975126,212.195850213372,344.297821188113,251.139628673399,262.655066474251,296.518097673616,227.263762126425,301.098288061446,421.002031184744,230.828979517729
"USP1",462.713487720899,624.569087441577,596.437675169903,595.644313977783,598.488218963032,789.193641088961,513.12878790707,806.307240387295,780.704013038569,805.651797133091,713.236868651215,697.663520011757,855.307240387295,688.766163738775,686.085420161321
"NDUFS1",425.834794005484,775.536806059325,252.708051328304,598.157729954995,457.848068930775,346.08687959896,208.842694499644,364.828979517729,395.959414300338,511.061093747921,210.014049871552,431.500298555924,311.530470264803,275.712262418634,403.495441536172
"CDC25A",130.046370822077,147.74202299599,71.702657233709,140.046370822077,124.959979699374,71.9076944635404,71.5587728303961,127.764622220127,93.6770860840824,120.007901444988,81.9952224731512,108.123658544845,76.7621053350577,41.9202282268024,67.8143358874927
"PEX14",393.177333588517,357.643957703006,251.338424871066,404.695840646696,387.40608155519,347.545182439681,298.556385266776,361.386429255395,364.193153825281,379.794329181081,274.265831375578,341.077067247522,370.540321496777,276.30365350787,362.244385220845
"PHB",238.848875191338,304.437675169903,324.16335485492,301.761002184353,269.261774228139,362.330358914943,342.37465308155,350.263762126425,305.19914902426,308.966936597846,426.120788933529,320.363924586501,326.60155222393,350.655066474251,387.423788288507
"TRIM58",53.3482168759097,40.6587759285495,24.1768499737659,62.7289731766315,53.4663661524512,26.9200739874741,14.429732472949,31.7533205933569,22.6934013224845,25.4598839066667,17.6931461103215,15.779929139615,20.9071741454687,13.6836992040467,21.5977818197254
"TMPO",200.27572440298,271.850234012281,269.919553329714,197.872457778599,228.078098255677,325.603982024114,259.223408607331,275.959414300338,299.119829586225,339.427951229608,265.605078378567,289.187990225407,333.360893868451,348.690366774358,206.158609060303
"SERBP1",71.8005149884886,126.671996244082,96.1553600299642,114.285798380009,106.08696297276,159.498779173261,139.998095872294,123.742022995991,111.066611519119,143.803892833733,101.825389394074,137.138430856466,151.816654749564,150.474856806343,83.5394679340657
"SUPT3H",113.496457685943,109.505059743887,71.0898855589322,140.708399494301,82.9707236262464,86.3564456845547,79.8666089554425,72.4377080796841,73.1925991918665,99.2199512971162,38.4925797567012,63.1667038046943,79.8010191945246,63.2827427517706,43.2424947577001
"PBX1",2361.74202299599,1361.1834512267,1351.84962422886,2209.52222600008,2378.28550125686,1244.56830066345,574.046370822077,1829.78407871484,1312.20411919354,2272.43577064183,1185.1611674333,1155.74037079365,788.579542059849,541.71042964018,1199.18777217046
"CREB3L1",295.525779765289,144.10844048822,214.437675169903,187.545892047966,201.05715049427,144.995880799012,191.915936039468,129.777977761586,128.062705823278,203.878089884885,77.5446085624151,157.128082277016,108.310491976737,159.636716390396,126.723633875977
"CPLX2",78.3291873217605,78.3291873217605,75.4499483141728,81.9957097319866,79.289284353965,78.24464867586,76.1769044460286,75.510545450907,69.1118554015307,70.8520134874192,67.973084819391,78.8289834572511,69.0448439036927,74.3364196406792,77.9493735416119
"MTCL1",834.690183303209,578.312520146137,293.228095180285,654.06007111936,669.140122260084,263.123047058096,87.0292847962777,491.904537201784,317.553088657801,565.768812915462,235.611588213381,192.627796024818,195.644745780153,137.775344799114,227.821537602291
"THY1",1883.10342040673,1062.89419690903,685.949352103384,1292.97794468776,1395.25190578426,635.806873949532,132.306435975364,925.29315825313,732.957342437119,1024.07096513616,733.661564537219,628.618952589034,559.915936039469,183.967940436222,613.796392872087
"SNAP23",314.307542718453,588.860494536123,565.612689852598,446.00995104971,527.224033173075,810.435189590031,581.109369267275,957.250161693136,764.393836589061,732.089849082947,606.457759375782,711.772018720519,842.155760599283,845.52044271043,678.422693197672
"TRAF3IP1",235.669148015199,271.958382140384,156.446920790903,268.18407786495,255.888750864601,245.133327343816,191.682066709938,209.667294797882,238.009006068539,251.455083520358,176.872457778599,214.08299496853,198.198513838925,224.939179758849,195.114463933778
