"","P_GSM184363.CEL","P_GSM184364.CEL","P_GSM184365.CEL","P_GSM184366.CEL","P_GSM184367.CEL","P_GSM184368.CEL","P_GSM184369.CEL","P_GSM184370.CEL","P_GSM184371.CEL","P_GSM184372.CEL","P_GSM184373.CEL","P_GSM184374.CEL","P_GSM184375.CEL","P_GSM184376.CEL","P_GSM184377.CEL","P_GSM184378.CEL"
"USP21",124.15016369623,131.783403577128,143.486652905043,138.175085361032,230.252826997322,158.304492830938,169.700227993142,199.327282287506,153.614955925171,130.475473704751,128.828644957146,136.394510362807,210.7513980971,144.982524182931,151.643769748331,109.949194598914
"TRIM28",269.166884471076,341.326130590194,323.695276451143,287.573660854979,355.202440182702,295.196472145786,324.334483944858,310.643321769534,270.236726633183,267.430005568631,237.28756376548,280.350161028537,360.478669538068,315.958481163068,321.230161028537,286.797291641815
"DDX23",131.519060721658,175.310161028543,145.595945174565,115.901365802568,168.350161028591,132.976310380044,145.176232027158,133.652633101194,108.10419076075,128.285712272927,110.621131395497,128.639015263498,168.730973799697,144.512436740061,171.724088602614,128.426539628132
"KAT2A",182.510010238779,232.381818908299,211.431921714546,216.314750628863,243.966123461181,243.068571047692,291.247973529951,282.691745388918,177.400760403813,298.091469669295,209.879415187548,264.249509564951,302.270274800228,398.661135241635,299.070591350438,186.816222443819
"XPO1",719.770125146949,841.910161028538,654.328593981309,449.529938236476,1053.70685903826,880.374422542642,734.181150875038,1075.97790311376,693.351233182026,578.524893691622,502.637510770601,857.799179408781,809.522718981024,671.580035810752,682.810642542163,416.043643401731
"ALDH1A1",267.619429703584,316.904575877953,334.083182303301,73.320409851752,151.190161034421,477.995384498624,265.950161028537,212.885008138087,523.27226743533,110.612820720475,320.81584145513,413.150161028537,205.36911110958,68.4800731985999,175.340516565582,345.911734882243
"ATG7",63.8288171034088,41.6981008868684,62.6301533350514,74.5980486481706,63.5143910245789,49.6266520559834,55.2101101992709,41.9928856718642,59.0428144161689,61.6222769423728,63.5595549097993,48.8741081657599,54.6623666804614,55.381477007731,64.2355856329824,87.630830198404
"JMJD6",86.5191429636179,124.444386427718,62.0076130858984,35.2920117099645,85.0577693184696,77.7772559045051,64.8187665085299,116.804966489097,60.8747931768498,100.299221079137,55.6756736150247,134.992543863732,79.8846587312867,119.659871413352,98.6618663717368,25.298667682464
"OGT",912.660570267965,1560.09459486273,990.95677464006,633.597183737249,1114.50142687066,873.947348571268,982.298360300256,928.682074879652,768.26943214363,742.551070109209,639.37456560827,733.390161028537,1016.21058033867,909.231344292096,943.713356746074,683.330161028537
"CIRBP",201.01233177085,247.45140950646,286.512445129839,799.353075414483,267.171555916316,438.538154530933,197.916097607773,172.567249487943,379.875234159704,214.84963629177,387.688687529426,182.986155533199,276.103596530237,145.339679709024,212.923031663045,1170.69016102854
"TOP1",330.768062622249,480.040633086248,366.539044546052,319.945707490921,378.834941992491,395.490161028537,354.153129570872,403.656909452618,327.173812568722,336.590161028537,319.96816906364,399.695966898045,349.653517217849,444.610197994044,436.230161028537,317.349093603896
"EIF4E",156.913467370759,139.964219948726,161.054401057918,204.010161028537,134.809725854372,182.111332438625,162.021847011816,148.324470584716,196.941025317327,93.5370354463285,241.210725952227,177.442626609172,136.309008861189,109.144043361993,158.990161029232,206.538943810906
"HNRNPC",1259.77016102854,1213.79946231196,1621.2904804267,800.788542173901,1362.28709792164,1190.08854927045,1378.22876957024,1609.90578997854,1139.81262692442,989.604009436306,988.727096647784,1247.40207472334,1092.43016102854,1082.65284696689,985.070390220749,1124.19149536328
"KDELR2",236.078925624374,238.960620805751,335.875906501949,238.710161028537,341.749066859081,301.784607929497,280.658405226034,279.161894869446,253.563399083591,258.915811838816,211.645862234254,211.156202158145,285.977502908776,280.209106060686,255.590161028537,242.144362567383
"BCL6",1284.36080301112,1470.25016102854,1760.27421049939,277.483590195336,1202.32597804262,1107.72305724288,833.092112948153,737.179588980485,603.688831377956,769.751947236403,599.81384632267,1036.75178629813,1289.58811508349,1211.98970758081,1143.92382995822,680.150161028537
"EHD1",18.4926196381048,21.995288345297,23.764854455134,16.3084397477204,14.3265737491389,14.3417676788104,13.5230982223661,13.6957371604457,15.5611015564937,15.6815500932868,18.1207816185391,16.5221915098332,20.4199858156722,14.6033371921755,10.5713522728514,19.0070340409765
"TAF5",45.5341548321747,98.0441880513148,46.2912288267056,44.5141060921068,75.2304639168951,46.4209086165463,45.5892756436391,45.5892756436391,45.5571196392362,63.7670537754223,44.8571813533343,55.325745733662,57.6892560431575,49.2953497349178,63.3391909845259,49.0307613373521
"IRF3",120.646030045766,126.390162434501,148.557111400138,133.470161398719,139.158148033593,142.848717667212,150.223150327211,167.705304633463,137.051319938719,121.533222975761,125.550137884927,111.109788234281,138.927055181032,151.410097211126,159.732935485523,139.947342261597
"ZCCHC8",102.305780359602,155.785769576174,126.963493228283,85.444815781828,109.470203865003,120.702841881195,107.878417555777,144.690466285804,159.543242178143,106.78098861599,91.0114959109221,111.895068554225,110.943815734641,122.103027668431,133.288652495451,122.596427287046
"TBCE",28.6525887849477,23.1841705006212,20.3860922981629,30.2341907036724,34.3265003017315,25.0881319218177,27.9477028693496,23.5516849134601,23.2945957669849,23.7211339527045,35.8674903228085,28.6525887849477,22.3175553942031,20.9819608907234,26.2905042847374,32.0631427389727
"PRPF4B",117.280899029471,280.550161028537,146.470161044906,63.6455881005351,154.79016103059,98.2126112525884,156.473760494761,144.555841629503,111.723124086885,115.96961342944,60.6637025187077,95.6338144930978,121.829971852777,142.350161072738,125.725497316501,77.9590871415029
"KDR",59.0845450337598,28.9575725791089,35.558907900749,62.5944160738545,40.8683395279671,54.2073442215767,55.6710488381699,50.3415943916396,76.0676395130493,52.1543726994898,42.6651413422423,62.5276022768564,41.3251340531531,32.362569997787,45.7878128133067,82.2347309186866
"CLK1",984.275254158617,861.354937654869,1061.04513056058,448.466874086644,880.464192195221,916.725772361561,1046.6416459205,962.230161028536,941.615582518697,852.810964004874,899.439504350052,962.413971235737,1011.47321380813,709.398596431254,938.348998400983,523.374433579959
"PDLIM7",47.3768927483318,28.987540343111,51.7212018607641,43.165205523452,43.0843980499414,46.5959409810796,40.1767762212106,38.0784109611899,42.6438777582058,34.6633133666238,59.9419487380105,42.7469278530158,46.6380327462759,49.9619373897786,33.9541392565904,58.0276793199229
"TPBG",35.2253254988834,45.7154103619338,50.0173184234456,28.258980146606,77.7954203296576,126.32965559553,59.2187574660451,73.6008479407345,98.1476262361814,59.573626507011,77.6019513020154,179.778413608914,124.319653131696,128.406609898176,29.5014224919138,79.6658969273152
"SYNCRIP",100.700077937458,79.7126385471933,118.150826345414,193.227865951351,173.377090211975,139.029057780507,92.6011484984742,78.1154172003671,148.264895127778,69.6922160717922,142.891997970873,104.192827172062,152.790170233085,103.390267608714,117.510170188197,217.070161028537
"AHSA1",800.599449201934,673.567216977618,729.150161028537,536.67937441591,573.615700514683,682.670161028537,468.114763643538,745.030161028537,378.981344669587,546.385028199862,567.394787292527,981.251592173554,582.999062453982,748.296897458467,701.391927956752,374.158849656151
"NUP98",85.6558430354854,90.89070369292,93.8467597114409,74.1191398018674,96.6190877148437,105.510235552074,89.6621000876161,99.4163030285488,95.5059096171943,74.085962515566,61.1638430267319,72.7895504671689,79.0266397371511,77.5434627499885,93.8539125694459,100.170082255761
"UPF1",133.276451868939,184.304822559482,156.751407608618,119.047800835421,163.49912559927,162.73188779638,152.507706604504,189.252568409418,152.336845931285,160.142929698487,126.110162770982,145.884030213289,172.669183737713,150.115695399372,197.109376307465,137.715740015743
"TARDBP",358.67035530394,338.989234404314,325.855464005396,246.282066125555,299.536972955542,305.590161028537,294.382303629313,344.289410620856,258.270161028537,260.737257316794,246.710161028537,306.389922088107,301.590161028537,297.060897241153,326.627639255347,302.069522087812
"NCOR1",49.1098683971694,61.4207031712245,48.852995127737,40.4472417717935,46.7980032167786,43.9352350403291,49.8129293627968,42.6592146282258,40.8524600668454,55.0320675597273,45.594563569033,41.7369198194248,54.9398451776043,46.048175894695,46.7163437185082,45.8798636710265
"PDLIM2",78.7257239604645,137.931560172065,82.6764914297433,69.8795654897893,71.1193591704243,95.3544720970994,95.3544720970994,94.0375311020978,111.277305082413,64.2067943977409,94.1708158516852,79.5031653597972,95.1105769434912,70.1324181608294,88.7669925555772,77.9574663030341
"LAMP2",1151.0183056058,683.465855998273,661.083006063444,362.374058005391,1608.0182416078,559.98303833268,956.565007084007,956.071097385132,617.373023864516,687.552554928567,996.046037100519,745.472950928779,1343.76119395757,597.183404571681,1102.03016102854,603.230161028537
"PBX1",40.6081795801472,40.491400806908,39.5177189534874,46.0090845974344,31.1408685922813,56.3297592346663,42.2433559219783,45.6310667642473,42.9243852913787,48.6577820454738,61.0221812016829,56.6844516684208,42.8943686750729,40.7301104967619,34.3710186766322,42.4956021674009
"MEIS2",137.584999507155,238.43549098581,121.387866188905,198.742290136781,130.850595383622,163.827688224917,135.030161262529,178.10237120449,147.251592000265,153.305537084899,156.871951054333,212.146590911534,148.207321806658,177.66222333325,159.007202204945,183.175126461607
"STAT1",19.4596949329506,17.8451288914399,17.645611581822,16.4372394078106,13.3687854994626,15.1557935371989,16.0364286991272,13.4707241609328,11.4194322628922,14.7263249108888,18.7070143705999,18.1993197123783,13.5373469632735,14.3424415924918,15.4205773399884,15.5084719209713
"MAX",517.08736582051,753.470161028537,426.088378930119,317.387443341232,586.380424020011,577.94042051637,587.77168430888,569.869762564785,573.895153634716,529.962420581765,506.159775738837,531.025751685353,569.013657655517,666.43356206062,644.750161028537,499.031934407504
"N4BP2L2",164.975625482417,190.945001536968,209.430161028537,152.649096936009,227.970370228171,193.819768565739,168.367573735153,192.310161028537,163.70049583807,204.582186143778,149.772119860451,299.418834769803,201.404438819579,164.107048841842,250.742754486661,143.003381668215
"RET",27.2381586653886,35.1431356137985,19.524041282196,36.0643456811002,47.5524541698749,29.051375955539,22.8148025337793,29.5727921750646,39.4471262659475,33.7574650506292,48.1950007370403,33.6550947265807,35.0420603303466,27.7146031601615,33.5203908125998,41.6015718963589
"PIAS4",76.8435960261167,94.2977124753167,104.199855974506,61.8770811974173,78.8853957384597,101.320094446832,107.349556927029,86.0102093631674,91.3907703397325,92.1752996257563,79.9590690721938,88.9025859710906,81.9130008219131,80.0526828805872,81.8732033385314,94.2706456441223
"CAD",59.6324869461576,77.0582513336854,72.4660012362872,64.8637414191313,105.79499299194,75.6217834244469,84.844171107015,93.4707300285957,81.25645171097,71.3234336378764,75.2085851714906,75.1694675824583,114.317298868827,82.8256231214813,80.5045298826872,73.0113017126904
"IVNS1ABP",221.33410937681,189.366813088674,248.813509322726,116.909879727956,255.30207035449,315.159144051473,277.214951208924,166.716033891493,185.0100758837,201.350161028537,246.002815113195,213.566367873431,246.135336864072,135.804355030557,291.318220974334,162.442700536784
"KCNE4",36.1885572245664,21.2916266809279,82.4469274074509,12.605502550631,49.9445629193496,44.0045335666934,39.9551260221753,13.200726423987,23.0318415697417,15.2299090331586,21.4038947002505,36.4592038667765,27.2297496424354,60.3573655183543,78.7732715210281,14.5343507704697
"G3BP1",262.830161028537,299.611686510456,273.390161028537,148.160978261485,463.339756767352,322.192961025782,276.335233078358,234.744018816661,307.399657815874,240.477309122529,227.987681942434,261.363954854782,338.184786406812,303.169973930336,327.141326584412,234.506037452045
"IRF7",76.7318944322634,59.2563291552467,61.5826498442308,33.4868686131645,95.3067915406023,89.6712232345676,62.3296003758072,74.2956177930551,37.7944203076976,45.7606056108514,45.9846460641844,47.5997660039553,46.210516805646,92.8730874069867,76.6275857876384,58.7221010470267
"NCAPD2",73.4266195840701,38.9102093978309,55.2830449717028,42.1248735540581,80.6341203305723,45.3728362786149,49.9325494416262,63.0368039889485,40.7256264857761,51.4445486343944,46.5740388462611,61.1195805714269,55.4662342465843,40.8702871433845,78.5158073622149,56.8250881764094
"PSMD9",17.2106573498404,17.2106573498404,14.5847021555373,17.8278892422856,17.0704434432591,13.4828774013504,14.3066927600677,15.5837472846385,15.2013444693659,17.2106573498404,15.4366999151951,16.4892392550207,16.5656263304509,15.3870141372188,20.9046339323768,16.0862320317915
"PPM1G",133.808060723058,149.74396425179,131.670161493345,152.635606294324,181.5954555533,161.877352279877,147.749738185338,144.750161055536,139.830161119799,143.012284002381,130.016334490595,143.134685579575,166.019295413327,162.658123097502,152.507003458106,137.974513904212
"SERBP1",946.197575803658,929.947830700807,1047.14348265771,792.76886194599,1021.04428479541,1120.07016102854,1085.27987372879,1130.2345351981,966.607438715922,816.498183834617,926.586179960679,1015.09291468951,925.697487387923,821.330386352308,939.8703185765,1112.72668871209
"TCF4",586.857161747668,1202.29488355132,635.18698263196,293.635257075616,581.456320277205,750.670161028537,801.186568391322,682.095543969155,774.801132535041,899.283795119065,501.152276010411,724.570161028536,667.917824650459,545.822408166666,733.206764367389,559.989984809596
"PVR",30.1976353273909,28.0221346285214,22.9146892497117,30.76576141276,29.9365351945658,42.5495682201711,29.9893239787828,26.2120531129847,24.6412419789427,21.3560763490285,28.2814631732581,24.5464744729448,30.1976353273909,35.9666009884983,25.3479732270011,29.9395133642987
"CUL4B",28.5101215378607,24.7598553726966,26.3690075563272,26.2632968397525,22.884422468047,19.2601989363757,19.8214811068114,18.8902182661524,14.7181177721869,15.0562918868457,24.776835522731,21.8741739039009,20.7151077842101,15.9804075770024,15.183405037268,18.8378426894717
"ASL",40.1750145190004,32.2483512727374,33.6066674903576,53.1425680918889,64.2852410952427,45.3120248258446,34.7476997025103,40.5418523039351,40.4895602358251,30.3005061951173,53.1086532939927,32.2693749618649,51.5971832244066,35.9753980224552,37.3776642224427,54.8699146486256
"LDLRAD4",133.189708379369,53.8207301825187,89.1707296638532,110.767648780709,41.1180636717904,84.689170738972,89.3279809972603,89.8103693326287,92.4148646433875,64.514569295094,84.8818961085365,93.5994271075919,77.9241184901985,51.8283790352134,57.1085436442203,64.2253867030419
"RAB2A",149.447437872513,185.390161028537,139.420767963351,254.07190778863,215.51005922555,186.483523082663,126.117239879628,95.5932188086864,221.917658995152,94.850958167191,168.188033887359,108.789483711012,186.483523082663,79.4467524841042,132.966734894018,268.952873666416
"TAF4",60.8745807177688,126.422176328504,84.1264510298203,50.5608295881959,108.070212555859,90.2047417801131,90.7664044608991,107.110222895842,78.7949493186484,76.0370510278768,62.9091547087473,66.8559742244984,85.6610148227596,96.3479739540554,105.526790565003,89.336928560979
"ATM",191.030161028537,183.448360857203,200.856705935751,127.005190965688,185.39918994403,128.354891960811,227.886697822333,233.201402761619,176.552641447698,153.510161032025,142.310161072738,103.648907592067,173.882284927452,194.548093902827,205.319308668411,137.610161175171
"SDCCAG3",88.8557472012453,128.848751668481,103.567828961989,73.6547576040328,146.310161049575,88.2778178706795,100.04904447036,100.522162220232,90.3914875697041,102.830287358307,72.0778342583432,60.3597506177396,116.804139546817,104.349424828995,111.348577100602,86.14545210702
"RBM10",111.657344335316,119.999704717186,141.867108142195,131.20168733364,133.400049490148,133.400049490148,153.919405447523,184.336254686517,153.959795320492,146.817030893536,126.110162770982,148.084360118358,135.861339959713,150.439130334753,145.024265824572,135.200953590422
"PBRM1",150.718093299428,191.766314265272,188.733915029679,140.990161100333,174.390161028546,187.355266159108,187.634668557105,158.35016102945,171.704530702504,177.825283469321,169.207289124609,158.35016102945,162.320304884632,143.852429895403,175.434129440024,158.35016102945
"PHF20",306.59320390732,266.453876806108,284.526567684166,264.121141697054,258.750161028537,199.407271121019,263.169937348769,276.881334747661,256.430161028537,182.999997774765,256.310161028537,240.760598263522,241.401585029413,145.572471563458,286.179667483448,246.535860963619
"SRSF1",647.779351498124,735.263741601004,625.950161028537,421.750161028537,623.230161028537,621.463703959349,635.018906578203,635.773135310717,541.771964289644,488.070161028537,532.532555662462,591.233821501143,598.084131979665,588.106233718234,607.019853027908,474.758147970408
"BAZ1B",158.619891636741,205.856843434013,180.480650677157,142.05398622315,246.119628868391,176.430161028542,240.110161028537,212.950161028537,226.295308038625,210.716366805555,150.557160565834,160.742954285481,241.587593042775,208.536823473567,241.686447277981,197.091131894466
"PCYT1A",46.3536130135045,28.2259041258691,29.5198426180677,39.4666175041638,33.7003843005285,33.807223760363,31.2096990879437,26.7594824333355,36.0836340685076,25.5418637236134,35.1297756041901,35.8628180055798,43.8265986934336,29.0420305045881,37.1558585960749,44.9049287817731
"RSL1D1",80.9981228379514,148.367809299233,55.6031709440621,92.880105742723,122.438452280785,81.0426790789231,73.7131772950173,46.2223321033548,57.4309228413897,92.9358519852486,112.603615450232,140.397815401355,96.1505729126316,86.511831788083,94.6706456168122,79.1147841629412
"STRN",15.5977857279272,13.5253825623473,12.6761138060288,18.6114147483293,11.9389636241859,11.3280210066395,11.6489229847748,11.0998296664533,10.7101358802934,17.7492162591096,11.3369074143095,10.3499317355799,14.1680464923849,13.241144412371,9.18792900668709,12.8838375561085
"MCM7",179.808272693153,194.912324195927,166.990161028634,141.96063633856,234.981354746188,170.605668387523,203.390161028537,200.51385739865,151.208152021901,282.243253305835,170.277003948037,218.959138880639,223.865740806352,311.308449507714,205.436018628119,142.78422358497
"CDH2",333.859000262441,463.845732271588,374.106669168358,481.095093316735,440.687531715409,414.030161028537,384.616329410783,386.564749568087,463.819277826544,442.807868710978,407.735197758621,572.31038196777,410.910161028537,333.950161028537,522.908807213355,489.711849234909
