"Gene.symbol","Cell.type","SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","Stress","TopologicalCoefficient","PDMalacards","DEG"
"DKFZp451F1115",NA,4551,3.89617486,0,0.25666199,0,1,6,"false","DKFZp451F1115",171,1,0,0,0.67820279,"false",0,0,0,FALSE,FALSE
"DKFZp451O0517",NA,3332,4.10886927,0,0.24337596,0,1,6,"false","DKFZp451O0517",51,1,0,0,0.65457008,"false",0,0,0,FALSE,FALSE
"DKFZp686J11229",NA,5423,3.91214796,0.00010262,0.25561405,0,2,6,"false","DKFZp686J11229",66,2,0,0,0.676428,"false",0,8402,0.51587302,FALSE,FALSE
"DKFZp686L18142",NA,3597,4.03993274,0,0.24752887,0,1,6,"false","DKFZp686L18142",80,1,0,0,0.6622297,"false",0,0,0,FALSE,FALSE
"DKFZp762B153",NA,6255,4.06599412,0,0.24594231,0,1,7,"false","DKFZp762B153",55,1,0,0,0.65933399,"false",0,0,0,FALSE,FALSE
"DKFZp781O1323",NA,5962,4.10886927,0,0.24337596,0,1,6,"false","DKFZp781O1323",51,1,0,0,0.65457008,"false",0,0,0,FALSE,FALSE
"DKK3",NA,8267,4.33753678,0,0.2305456,0,1,7,"false","DKK3",41,1,0,0,0.62916258,"false",0,0,0,FALSE,FALSE
"DLAT",NA,5913,3.97477932,0,0.25158629,0,1,6,"false","DLAT",106,1,0,0,0.66946896,"false",0,0,0,FALSE,FALSE
"DLD",NA,4146,5.33291299,0,0.18751478,0,1,8,"false","DLD",20,1,0,0,0.51856522,"false",0,0,0,FALSE,FALSE
"DLG1",NA,6160,4.15678857,0,0.24057033,0,2,7,"false","DLG1",9,2,0,1,0.64924571,"false",0,0,0,FALSE,FALSE
"DLG4",NA,3499,4.15678857,0,0.24057033,0,2,7,"false","DLG4",9,2,0,1,0.64924571,"false",0,0,0,FALSE,FALSE
"DLST",NA,5151,4.15384615,0,0.24074074,0,1,7,"false","DLST",34,1,0,0,0.64957265,"false",0,0,0,FALSE,FALSE
"DLX2",NA,4477,4.10928962,0,0.24335106,0,1,7,"false","DLX2",23,1,0,0,0.65452338,"false",0,0,0,FALSE,FALSE
"DLX4",NA,8539,3.89617486,0,0.25666199,0,1,6,"false","DLX4",171,1,0,0,0.67820279,"false",0,0,0,FALSE,FALSE
"DNAAF5",NA,5386,4.13240858,0,0.24198962,0,1,7,"false","DNAAF5",39,1,0,0,0.6519546,"false",0,0,0,FALSE,FALSE
"DNAJA1",NA,8431,3.96595208,0,0.25214626,0,1,6,"false","DNAJA1",62,1,0,0,0.67044977,"false",0,0,0,FALSE,FALSE
"DNAJA3",NA,4271,4.05842791,0,0.24640083,0,1,7,"false","DNAJA3",41,1,0,0,0.66017468,"false",0,0,0,FALSE,FALSE
"DNAJA4",NA,8381,4.79613283,0,0.20850131,0,1,8,"false","DNAJA4",40,1,0,0,0.57820746,"false",0,0,0,FALSE,FALSE
"DNAJC12",NA,3094,3.97477932,0,0.25158629,0,1,6,"false","DNAJC12",106,1,0,0,0.66946896,"false",0,0,0,FALSE,FALSE
"DNAJC19",NA,3086,3.97477932,0,0.25158629,0,1,6,"false","DNAJC19",106,1,0,0,0.66946896,"false",0,0,0,FALSE,FALSE
"DNM1L",NA,3569,4.03278689,0,0.24796748,0,1,7,"false","DNM1L",64,1,0,0,0.66302368,"false",0,0,0,FALSE,FALSE
"DNM2",NA,7638,4.05002102,0,0.2469123,0,1,6,"false","DNM2",55,1,0,0,0.66110878,"false",0,0,0,FALSE,FALSE
"DNPEP",NA,8069,4.03993274,0,0.24752887,0,1,6,"false","DNPEP",80,1,0,0,0.6622297,"false",0,0,0,FALSE,FALSE
"DOCK6",NA,3543,3.18663304,0.00388358,0.31381084,0,6,6,"false","DOCK6",18.33333333,6,0,0,0.75704077,"false",0,65488,0.16666667,FALSE,TRUE
"DOCK7",NA,5749,4,2.235e-05,0.25,0,2,6,"false","DOCK7",13,2,0,0,0.66666667,"false",0,720,0.5,FALSE,FALSE
"DOK1",NA,3404,3.89617486,0,0.25666199,0,2,6,"false","DOK1",171,2,0,1,0.67820279,"false",0,0,0,FALSE,FALSE
"DOK4",NA,6467,3.99033207,0,0.25060571,0,1,6,"false","DOK4",81,1,0,0,0.66774088,"false",0,0,0,FALSE,FALSE
"DOK5",NA,7197,3.99033207,0,0.25060571,0,1,6,"false","DOK5",81,1,0,0,0.66774088,"false",0,0,0,FALSE,FALSE
"DOT1L",NA,4187,4.07019756,0,0.24568832,0,1,6,"false","DOT1L",71,1,0,0,0.65886694,"false",0,0,0,FALSE,FALSE
"DPP3",NA,4917,5.33291299,0,0.18751478,0,1,8,"false","DPP3",20,1,0,0,0.51856522,"false",0,0,0,FALSE,FALSE
"DPP7",NA,3856,3.89617486,0,0.25666199,0,1,6,"false","DPP7",171,1,0,0,0.67820279,"false",0,0,0,FALSE,FALSE
"DRD2",NA,4340,4.03110551,0,0.24807091,0,1,6,"false","DRD2",35,1,0,0,0.6632105,"false",0,0,0,TRUE,FALSE
"DRG1",NA,7339,4.04623792,0,0.24714315,0,1,6,"false","DRG1",51,1,0,0,0.66152912,"false",0,0,0,FALSE,FALSE
"DSP",NA,7375,4.00420345,0,0.24973756,1,2,6,"false","DSP",47,2,0,0,0.66619962,"false",0,0,0.6025641,FALSE,FALSE
"DTNB",NA,6715,4.14123581,0,0.24147381,0,1,7,"false","DTNB",24,1,0,0,0.6509738,"false",0,0,0,FALSE,FALSE
"DTNBP1",NA,8337,3.89617486,0,0.25666199,0,1,6,"false","DTNBP1",171,1,0,0,0.67820279,"false",0,0,0,FALSE,FALSE
"DUS3L",NA,3519,4.1223203,0,0.24258183,0,1,7,"false","DUS3L",28,1,0,0,0.65307552,"false",0,0,0,FALSE,FALSE
"DUSP19",NA,3839,4.1382934,0,0.24164551,0,1,7,"false","DUSP19",38,1,0,0,0.65130073,"false",0,0,0,FALSE,FALSE
"DUSP9",NA,3147,3.1261034,0.00391898,0.31988705,0,12,6,"false","DUSP9",14.11111111,12,0,2,0.76376629,"false",0,89502,0.12139918,FALSE,TRUE
"DVL2",NA,8753,4.16351408,0,0.24018173,0,1,7,"false","DVL2",9,1,0,0,0.64849844,"false",0,0,0,FALSE,FALSE
"DYNC1H1",NA,2473,2.93274485,0.05977731,0.3409775,0.00158416,106,5,"false","DYNC1H1",5,106,0,5,0.78525057,"false",0,4729936,0.02744368,FALSE,TRUE
"DYNC1I1",NA,6581,4.47204708,0.00171159,0.22361124,0,6,7,"false","DYNC1I1",3.16666667,6,0,0,0.61421699,"false",0,272090,0.21666667,FALSE,TRUE
"DYNC1I2",NA,3381,3.83018075,0.00010467,0.26108428,0.33333333,3,6,"false","DYNC1I2",65,3,0,0,0.68553547,"false",0,19400,0.37816764,FALSE,FALSE
"DYNC1LI1",NA,2844,3.83018075,0.00010467,0.26108428,0.33333333,3,6,"false","DYNC1LI1",65,3,0,0,0.68553547,"false",0,19400,0.37816764,FALSE,FALSE
"DYNC1LI2",NA,3780,3.93232451,0,0.25430251,0,1,6,"false","DYNC1LI2",101,1,0,0,0.67418617,"false",0,0,0,FALSE,FALSE
"DYNLL1",NA,4845,3.7507356,0.00190178,0.26661437,0,5,6,"false","DYNLL1",57.4,5,0,0,0.69436271,"false",0,200206,0.21945525,FALSE,FALSE
"DYNLL2",NA,7349,5.47162673,0,0.182761,0,1,8,"false","DYNLL2",6,1,0,0,0.50315259,"false",0,0,0,FALSE,FALSE
"DYNLRB1",NA,4238,3.90794451,0.00030528,0.255889,0.33333333,3,6,"false","DYNLRB1",40.66666667,3,0,0,0.67689505,"false",0,55512,0.36011905,FALSE,FALSE
