"","P_GSM208625.cel","P_GSM208626.cel","P_GSM208627.cel","P_GSM208628.cel","P_GSM208629.cel"
"NDUFB7",46.3422032983623,67.8638267422577,49.3908430776003,50.0830617632203,54.0984560333591
"BTBD1",121.677710262086,189.040671789272,124.021778561539,155.658278835226,181.037520037251
"MRPL11",67.7739836133355,111.714176000699,92.5930712462916,92.8622329882605,103.430925516704
"BFSP1",30.51911868479,24.840017705392,23.2809500258164,29.0389462327707,25.7720939715441
"NUP98",76.0299745733827,72.2255916600799,63.277724443022,64.1631285362524,61.8047383950019
"AGPS",17.8575400742693,21.5524117822754,23.8774126521028,21.9415866290556,24.0175296666937
"TOPORS",12.4073018437911,10.740839446956,11.2773734465849,13.6674028921034,12.2218085027596
"MCM2",49.2124874444895,62.2471352288219,78.2790504775306,51.1315450037123,76.4578675170787
"LZTR1",262.81478847775,230.684775361133,194.274978519491,220.832356729702,184.159277797528
"DERL2",19.8450625804151,21.616520099797,28.0733175496606,23.4376667217003,21.7979587586553
"WRN",14.3995947996511,13.8321719880115,14.6219237874944,14.7165121289002,13.1727991371085
"E2F3",39.186235322826,46.0333899910868,39.9011666695899,40.9916671456619,42.7311542391544
"PTGES3",701.509829460143,821.870273734788,817.930312566086,920.439041543982,1220.41138119338
"DOK4",32.3299419074829,26.6487997961117,30.1627308983214,26.4323529614071,23.1034564037254
"RSRC1",20.7999025795134,17.3315786690137,20.6376118730941,19.3756639903205,19.1508135506199
"HMGXB4",81.3966942552712,109.749141560704,104.533622714519,81.1885095848867,97.172147207328
"TSC22D4",180.385767464796,150.360673213158,164.15688497309,174.871944341391,120.435689740981
"PRDX4",51.0853665016268,106.111344812299,174.47828341696,87.8488111951753,90.8704756613798
"CPOX",63.2114680008329,72.3089833439755,89.5815425448234,70.1588346280723,75.8252813564164
"CEP250",74.3970198047582,69.0238290954653,69.4081332802965,65.5232968497565,51.6061412353082
"SUV39H1",59.0676812461686,60.6919489936416,61.3282500497866,62.1332503131892,64.1800873478922
"NUP88",92.3381458182401,75.0997822481936,125.533868930107,95.7984109412743,102.221909892535
"GAN",10.9685387835632,11.355525016998,10.6417794448608,11.5983055435342,12.1050079349866
"CEP55",9.42253472193199,9.53453616171653,9.23001369147667,11.1032512985256,9.44437800177354
"NCL",460.951448463332,580.769382205163,590.60946572959,492.868839371793,685.566963443175
"CCT7",260.94441225785,573.411236228284,398.234887940925,320.570853160999,562.389429359396
"INPPL1",128.508730194895,136.434637221035,123.395869610787,137.436740460672,97.3296807598711
"PLA2G2A",129.126651502204,111.414234911357,145.950805023787,134.28145287094,128.659278025851
"CALR",479.656273173307,436.596777797528,600.026031663618,418.564472160155,562.025971671055
"PDE12",14.002799401255,12.4198317580564,15.7651919389675,16.3288553614293,13.835894305511
"IL17B",11.7506493151805,13.4870581877022,12.5028508361005,10.6506424424406,12.2635110710513
"SLC25A10",66.7582382703143,51.0213910211153,56.9981255006687,53.7016772286869,41.4929367532439
"BCAR3",26.4631170496411,27.3432395389844,25.0629715320274,28.5667026141175,22.2557297248837
"KHDRBS2",63.7083504101431,48.8414227818101,53.3553361275832,68.1184569704809,46.5423488441378
"IER2",245.446717973368,199.272956593782,222.26023788728,222.081562756137,256.459277797527
"SMARCA5",12.3818451509999,14.5535401681145,16.4363323973467,15.9128775568315,19.3648874087526
"STRN3",31.1289157528602,29.766379538513,36.5716340716445,28.5075230951337,31.8852945740736
"DNM2",95.1836093115258,61.9955786699115,78.026424685433,71.7986600357991,65.8599292091115
"KCNE1",20.6034523090387,23.6813406108126,22.847896307212,22.3507429080017,20.3428581917793
"IRF3",96.7289185456567,96.0391838934825,92.5289537774166,92.5535715527155,79.2722817789535
"KDM1A",159.782103883536,206.809055899629,173.319141702111,176.573354838205,189.833084260632
"BIRC2",110.460501661426,144.894897786437,111.419583445397,130.46560374439,213.057631380717
"CDKN1B",200.705939183921,228.089986068374,241.849522926774,247.255448677831,314.010308303582
"PHLDA3",171.912395711909,148.63428190059,154.721462025542,144.271127930279,137.643323095527
"BAG4",9.57781664102959,9.24580614761116,10.6422969570191,10.6896561503009,10.8741277448641
"TBK1",167.856954925592,215.80014132183,160.025589579943,147.499774060967,178.252471621301
"SETDB1",99.5470039273055,102.404840803403,109.74504818294,94.3537237252167,98.6743430724153
"SIRT2",678.006814324832,527.452427982457,626.459208449649,574.713921568016,447.387972675281
"ZNF16",43.4018194023732,46.4485885736421,41.2062536735811,37.9981421171605,36.8235914948981
