"","GSM503958_PD_1364_SNc.CEL","GSM503959_PD_1401_SNc.CEL","GSM503960_PD_1647_SNc.CEL","GSM503961_PD_2515p_SNc.CEL","GSM503962_PD_2525_SNc.CEL","GSM503963_PD_3769p_SNc.CEL","GSM503964_PD_3790p_SNc.CEL","GSM503965_PD_3803p_SNc.CEL","GSM503966_PD_5138_SNc.CEL","GSM503967_PD_5476_SNc.CEL"
"ZBTB16",5.50108886630095,3.21133512452752,8.30989673553303,9.51525130425526,6.22230362175165,13.0240661822005,7.21147870753572,11.3604440729983,4.3385516532084,4.53921147647681
"NDUFA8",2.61125137153769,5.47654293380523,23.7176096737357,30.8597991510798,7.86394256604578,3.38728968271896,9.22949188994605,26.3720440742797,19.9180466176651,31.719861702812
"HEXA",3.16742091959881,7.89716188388847,6.05895652517304,7.89926505767656,5.4880605352603,10.2960361120474,6.35712671789608,9.07903119035167,5.94668370231244,3.43463666105748
"CRYAA",3.67232198763679,3.3075662637606,4.69669248489247,7.93184333563648,3.62926012701046,8.28953654072772,7.14757507787228,4.95333658586161,4.41771612107894,3.12491395440424
"PRPF31",7.72531618373692,4.77912989912524,9.22221103371218,22.313584802636,7.45871845091275,19.3367434909179,17.8489177292164,11.4392262155136,6.60152700519634,5.99668682646938
"PTS",48.432952813615,15.8147016629189,40.4530522502403,16.0154028407258,43.5223537289766,16.8108167009029,27.2226115677066,15.2638576506152,24.1826574813536,53.8197642641024
"PPL",3.94642063461634,3.81529213554108,3.23502918659615,4.12131875211556,2.83252959543659,3.63885823437732,3.2914409976056,2.70406280904735,3.60271014465359,3.61288952160532
"NCBP1",4.5474842486509,3.61239317023162,12.0629023062154,4.27186034261294,4.52814597548725,3.6411977889971,5.71084183287313,12.2380049051384,7.92998031992672,9.71598917368783
"BAG4",3.96873093146808,5.81131624842992,2.62796319560708,3.980914226085,3.07688151276845,2.62796319560708,2.56148746538957,4.58756288185029,4.00715248203832,2.84717286523408
"MTHFD1",11.505413460347,12.2506265533406,14.1396187627301,9.81334075454243,15.1717044845615,6.98757895228229,7.60630296071197,15.3312483960628,9.35892627386841,25.1293388856105
"NFKBIB",8.31833606395465,4.10523706444086,13.6912828110314,24.7541732844212,9.14960525377417,46.3156862630104,38.5235973295397,29.7765281849842,7.60351370263658,10.5157849293402
"PSMD12",15.7605525668204,6.88262407412626,8.75612334175363,5.68928468068432,17.9305532731262,5.18788682732938,7.59036124579079,25.7934589372359,24.1826574813536,26.6761941843783
"ITGB1",63.3489776371739,9.57166971406545,75.7086266225669,29.6908035986937,48.1108486529473,6.55207299921571,9.7714014907732,44.3390308338858,120.063888511184,136.512465774353
"LTA",8.99759691754811,2.27732052205496,7.28081218140573,8.01202589031524,8.06143722075223,14.6469535244475,6.72452702728084,6.10420582998712,3.07636456072633,4.4407006257385
"CUL3",2.80366505873785,5.37456045982908,3.02209413663532,2.4987936440652,3.72903080495394,2.67876759053699,2.24740394759632,5.80842460164285,2.70159143482845,3.30004182672072
"C8orf33",3.66231551462779,7.11976022735104,4.43563558246719,5.61666316911973,4.37348996409728,4.75481629841474,7.07822540948577,7.35440848453688,3.94944837299705,4.75572780347852
"NUP88",16.9225423654232,5.63971248161108,2.42936501771011,4.58839108675633,4.85383630952094,3.53400891476572,4.18738991858566,5.04243886198282,3.58413656073929,3.27449976416192
"SON",6.48409742099353,11.3034884922615,36.3326943417181,49.6773179433192,20.7844791675505,7.02689980174455,14.1254002216769,19.0629980580016,75.9642599716087,151.608351848336
"NUCB2",10.8933936878944,5.5088243547497,81.1748418696675,33.6589189608084,13.4014348596695,7.36725423008511,10.5614418001415,46.7126868273214,55.0292845157941,38.5999053828132
"PRPF40A",7.52710521797762,10.5879335381756,31.2640711697609,9.46030256290695,6.57624594535588,7.95453850122187,8.48431847954587,12.8155646642354,63.0269981294434,72.538699683234
"SMYD2",8.31396854506342,12.487203561894,6.54947852772072,69.7079755675702,5.4880605352603,7.06204336004749,12.8680086285399,16.4155080454377,9.77082926930201,22.0430963013723
"KCTD12",7.50553994904034,7.4255023571199,19.1368383964488,12.6296092149376,7.41941412096987,6.94123298693559,6.43961195961379,13.8669058678351,41.5878606328089,57.2860149519846
"STK4",3.6805507109568,10.0258365457508,5.16806920675834,6.00429968286119,5.14995634244362,6.35327659001359,7.14223368192033,4.77410713007498,3.88689553254737,5.14995634244362
"PRKCB",9.51792215297217,5.19756067085275,8.54409802362881,9.92871770142388,5.4880605352603,5.91829350146378,5.8460382508915,54.6812759615138,20.9049085504817,13.1625734813037
"BAP1",4.58855971932378,4.99154402209572,5.3579291839052,10.0599679234319,5.9247951455611,5.46851204227457,10.5530670328829,4.04072759022772,7.0472906892105,9.09841940113587
"RORC",4.15417867740627,2.85305946209748,9.2317555671452,7.45404930238822,6.87001688989921,16.179012683814,6.65330065509809,5.83682078673019,3.8353888978951,3.75942983915785
"FNTA",7.88275408466531,19.711883027977,14.7463528096485,11.3122536108934,10.9771911919742,4.47060908209745,10.6416240388936,9.7523457741283,13.7178389155731,40.7408209186529
"BRAP",25.9572503283799,9.78675047180146,32.3949551595446,13.9763219754944,20.4903039424313,5.53457946382316,6.53729304374075,7.54479069533337,16.8609937397933,21.4788848365452
"NTRK2",27.2240149093238,7.28150737451661,11.1655792964485,8.05270346346171,4.77702716813642,4.62526624206823,10.8453069562894,10.4421000434014,9.99831898344203,10.6621136146448
"EPN1",20.3222356342931,3.341143694177,24.3064390033608,45.3832071475191,10.0102154434953,88.4073527899326,71.7679227655829,36.5013750199932,16.0535838147758,12.2297535390346
"SOCS1",3.81219390645037,3.12490874775726,2.61655731195821,3.27176297490439,4.26857463743514,5.21969194885738,6.92175916438978,4.20639442117735,4.23875524204103,2.93019535830492
"APEH",3.85833398283042,4.87412759828509,7.55792415385146,4.60606729290006,3.77780433699126,6.48370129810583,4.37604154170135,11.4154558986417,3.82490474836449,3.93347855402094
"DET1",3.45005512378136,8.10351267619619,2.7483218635597,2.99273460894399,3.2503620836567,3.9309582140093,3.56375160329932,3.03637529928189,2.57368796897577,3.90631335964324
"ITGB4",3.02462402475982,3.14081990543006,3.82260367653554,7.54919859742066,5.77467541362729,13.2818456138917,6.77404139420359,5.84674154700585,2.95112879622629,2.91561796658018
"GRB10",13.3449417983576,25.720796492435,155.479738537531,35.9028033038726,30.8272736810879,5.28147503598079,27.203379588574,64.5592605169313,186.947072156251,309.023234586814
"PLSCR1",29.3176196188873,11.58952261863,9.59627217142383,17.906192101837,10.5549190816029,17.1626801746792,9.81992531388351,48.0740976877102,7.79836866598093,22.8210166817324
"RBBP4",15.0441625883976,17.9551838673698,14.4307687183701,29.5766587837953,10.8215799134196,9.85453630541819,11.1621527503769,44.3076389471984,28.8301723210437,56.7072384442296
"NPM1",643.059449727261,59.3487735822915,462.569244988826,603.043397330655,360.016470557074,194.797480999148,466.169189081321,576.372105097953,537.009543761279,523.262010071913
"LRRC1",3.52177810608826,4.21600942282042,6.99082537380602,10.8733859848849,9.92023872645224,12.3760937472224,18.580184736025,10.2046429058895,3.90138576064415,4.00765955600672
"ATP6V1G2",9.31463120532179,56.5004413762825,20.2970532248271,59.0865957520556,8.5148382277301,7.73114407242897,11.1455870655226,103.938279308393,43.3279970259784,123.429320098116
"DUSP9",14.8370356808988,5.71340296225555,9.22471552907833,19.326433675825,9.22396718274833,26.244363823478,18.0949398888548,13.922725930074,7.72258237162118,6.78361379530877
"ATP6V1A",112.167031472562,291.762822571649,257.218114106964,173.266475124165,112.019816604912,21.2862475142617,23.1270267689778,466.631416281058,510.133643217562,638.339021887036
