"","P_DMNV_GSM488119.CEL","P_DMNV_GSM488121.CEL","P_DMNV_GSM488123.CEL","P_DMNV_GSM488125.CEL","P_DMNV_GSM488127.CEL","P_DMNV_GSM488129.CEL"
"PUF60",568.392362956397,121.998709661936,179.692160190058,114.985285943622,58.9161380312374,115.248296323588
"CCNG1",90.0533502815858,35.9414898331083,255.948012638453,273.427048846928,52.8803574537109,33.6480095623986
"HTRA2",41.367194474647,24.3898085675728,69.2181974181664,24.2636177815598,37.4130831801571,18.1328829568959
"OIP5",16.2193863087854,17.0165069050626,13.1445771557147,14.0940905442989,19.0375682432072,16.3022494354403
"CCT7",320.866879944489,105.908622349067,233.934315863988,120.309862586113,60.610219162327,87.9042261989039
"UBTD1",40.490949852334,42.8782677673,49.1430095697203,51.7450918351088,74.9410414254461,57.8995493825211
"SCYL2",21.8483908899524,21.4982817862899,12.698588764367,13.7391804146952,20.7739041664095,15.4367786411657
"MKRN3",31.6019670782758,27.5892368567374,26.369381565718,25.7058174287328,37.1977698584337,31.6172950157917
"GRK5",51.1507258121888,44.5226512767643,34.6694482182199,45.119935811704,46.1901798037798,104.929774465435
"CTBP1",135.632363553564,47.1237134511649,302.015982904781,75.8119706814441,40.5957811511242,47.9807043083912
"CHFR",72.8771229225208,30.5351978947051,55.4379547609487,44.987017667498,50.3585199314515,25.5692861372522
"KCNA1",28.3784104226,17.8328100048558,15.8544333169854,17.8127439695687,23.3526747021863,43.8812871563565
"E2F2",23.7464369016846,28.6895720499733,17.5724483470068,20.3699229581176,27.5816073248798,20.6544646892802
"SH3BP4",302.947323848124,58.647996142573,396.417701914075,194.428263070235,113.952732380746,88.4200556080879
"BRF1",103.861651353439,126.631666367177,87.1385797372835,59.2088394911427,116.529271884906,102.104500505506
"BTBD3",291.086610456326,84.3105780202887,265.379942008017,364.958992066749,70.9102581452475,82.9140062220536
"DOT1L",16.1197217610868,20.2638937836895,13.376627208689,16.3207456822336,15.8192675633123,19.5293579931314
"U2AF1",279.753116238699,73.8167941337817,234.817482095862,139.4411233606,70.6860942087271,82.1311410099433
"WDYHV1",28.3969116720786,24.1034155544873,32.1750970047622,38.3938738930787,20.8420241870543,28.2426077386293
"TUBB6",182.084994132359,36.8667567725372,230.626734055448,115.917658537723,60.5851898808377,26.0927344935598
"TMED9",799.593872300455,191.241246991956,339.933778226865,448.012170491608,307.637398334965,221.9973942674
"DLAT",46.4391401351138,35.0179255736762,78.1689409377385,75.0519764237186,47.8163029156549,40.0184028652671
"HSPA6",46.284504366965,33.4482014391414,45.8079239257303,38.4339473810733,33.2690292428689,33.1646830476802
"MAVS",50.7344678687658,84.6697785370813,60.0265331875076,81.3406387765484,71.0429484881658,57.8013102432753
"S100A8",293.029098162189,104.216228714025,352.316067432049,164.423115596213,52.8382259391129,101.035608021466
"EPS15",158.728277709624,76.9022553334197,220.183558925473,347.731431052518,91.4480644418574,86.8331073005144
"PHACTR2",18.2275337419418,18.4973750695408,22.4964028951341,21.4289804202751,15.496886782288,22.1500797491694
"CAPN3",54.8957584089421,41.2770712205396,95.4347627425436,31.9354610058911,20.1705221302894,24.9113290401569
"CXorf40A",211.789336131365,72.0837093118277,99.0386860905942,40.5878761999803,29.5521446372996,46.2439935967599
"RAP1GDS1",268.99734111936,194.995312634655,318.850076426735,507.588225506055,261.030582571491,168.137738230339
"MCM3",50.0313223870223,59.4225323919873,52.9629957720992,47.1187083265887,76.7279586904339,53.2704074082285
"ARHGEF11",19.8944652786336,36.0860767031981,21.4783589510743,17.9321152271834,19.8341183374386,28.8700577897104
"SKP2",15.4489149068261,18.1654921793066,15.7608956178946,15.592496090024,19.6695132257948,14.6889788553876
"KIF20A",13.0301950298094,18.9326597514403,13.2235292610763,13.5678713259962,18.3543348659443,16.5692933063826
"RAD51C",26.1307064711829,32.1944287803443,27.8421464632619,30.1796590139734,25.740085035613,27.5285774430554
"LIMD1",17.363825442665,20.7763560448618,17.4314169480356,18.2421224666104,33.4193099077149,23.4400392449376
"ZMYND8",17.7139533076248,17.1468659083183,18.6544431442123,17.7376753334549,21.2006229356614,17.4151600089408
"SULT1C2",17.1261652048454,17.0078448234271,13.8427017236362,15.7940730525655,17.4037769335842,48.2248297846083
"WRAP53",84.0261448392359,67.6400273120435,38.7098581960158,42.3785025160909,51.1626233242857,94.4311597879497
"PGRMC1",676.229852445507,251.685830363647,434.575158704732,420.842727060364,110.242865887019,171.857003485192
"PKNOX1",84.7177717301596,41.4449768038606,45.588095706637,43.3477715150029,47.4131328116075,52.0433798908555
"RAF1",147.65345556729,33.2593948889306,99.7480574779645,47.6185659850606,44.9941991067199,26.9194441318085
"TUBGCP3",12.2094858987151,17.37395046595,13.3307236366685,12.9930190636396,18.4331275264755,17.8168079036076
"MRPL3",100.20766631875,103.741470274139,181.088983588048,256.077390484533,83.8882478839859,24.8711566621527
"NIPSNAP1",22.4803532485711,25.3476690901474,26.8294205200626,20.3660297272188,24.2842972432393,26.4537214088524
"ATP1A1",431.985021144967,149.419294125078,388.672620263491,186.796706806553,156.200867882625,147.868059353707
"LCP2",26.7458398202609,27.5364249728334,29.4027539668027,24.3120244973582,28.1729979510139,26.1064444787977
"ORC4",18.7290619372467,22.9528993130395,16.8521143479237,17.0241014952853,14.8600037195144,15.7071939406495
"CCND1",16.3727697000921,17.0986567753681,17.4253909382192,18.0595727275879,17.9346731772005,20.2606728832738
"SF3A1",71.4145260650504,30.9470998833936,94.8697177856941,79.7211572793442,63.803891232359,33.7270367227937
"TAF1",25.3027063813212,23.2876421481687,19.2716284264153,19.5435221059469,23.6707614675778,22.9398145850625
"IARS",224.739629471535,219.825220167468,313.940427609182,347.050069721067,169.92689138129,65.2051570115376
"IL12A",14.9803260850794,14.8132494617394,15.6227918670006,16.5547079131863,14.867902783955,17.8019134506396
"IL12RB2",14.5425172739701,17.5951089783034,12.771101538599,13.3576456267503,16.4902073890337,15.4712196112984
"PSMC2",404.754623882915,150.246965407758,414.604235560489,401.784793570039,120.040149956231,103.898876793537
"MRPS18B",28.8527646288378,49.8007217356874,55.3176274313325,33.2736597270267,35.6405852795836,37.3286796399534
"REEP5",595.103989898343,180.013130332138,516.82235084312,738.857135716649,249.752567046762,191.656500948
"PHF7",24.5862508921448,24.3160995086077,19.0976478056788,22.9342806427854,25.9783485260025,35.0869512881247
"VCPIP1",17.1577381754581,18.3601189399579,13.8427017236362,17.5557733894491,14.1447750489085,14.3076578255931
"NUP54",94.5063034053953,49.7662308173918,75.7572819998749,95.7392269040769,56.8130298147298,33.1519262252532
"DDB1",218.578929515488,72.0253359020206,183.549607781907,96.3909221621558,132.333962737498,88.6554212735141
"BRD1",64.9895892289801,49.2197749047176,81.8496540513664,111.465986925417,68.6777972452353,48.2248297846084
"GABRR2",29.9872065129897,48.9510791625204,30.5203439734413,28.913065309188,43.9430734302561,49.149064624259
"SHMT1",21.1624683837399,22.0876612807885,14.3074222792468,21.0111753282467,26.7298656577613,25.8098415576571
"CDC73",14.582816913204,16.7765271775161,18.2623186313368,23.3778992587005,14.8807378866674,17.0762249973981
"ABCD3",193.249697723736,148.521840450877,286.640730356647,302.947396092496,201.847336353411,314.89800035477
"NUDC",20.2022669789219,18.9148880680518,12.7171865870925,11.9530540327623,16.9111584237433,15.5001916402303
"LTK",73.1017893783277,124.94255558673,90.8250727018021,106.06632297529,132.568963731045,116.722399584492
"EPB41",15.7256783870251,18.8182663393616,14.8527707076558,15.7224680816467,13.8695773431938,16.4863631728141
"PARN",70.9927551270333,68.4751200505091,106.887096711645,64.9737279345644,60.6642225625233,28.0537676197887
"OLA1",329.190394317167,168.769289204824,352.870806085804,584.222554849904,833.416743795268,412.942342980181
"MAP3K11",267.59374251295,116.425077678216,133.50432590737,93.5892674709639,118.859367916141,119.205657638122
"PTPRJ",15.1461584512898,16.61950165053,14.4992415784885,15.2536435090956,16.0902241890054,17.4771606707168
"UBE2N",42.1114839292111,39.4636332695946,72.3818557160047,52.5671815852644,33.3021527085547,18.0746003981603
"MRPL15",42.5218442600988,35.7201003802226,56.2579223125796,42.0263141718161,37.6420467949013,25.607508775667
"ALDOB",26.6448060864843,41.9417150535748,20.8136400510362,18.4909428753701,32.5427443466248,62.9782844607988
"MAP3K1",13.1518170269528,19.5497153148729,12.5958445189702,12.3253853199713,13.8866360282613,17.2013585241528
"ANKEF1",22.9293332486702,17.9113713600085,19.7868328129586,18.6124400515013,21.9020803213773,19.5476045544156
"PIK3R3",196.591128982584,32.1489191281009,214.176949500318,48.8645661759245,22.2291302657395,38.7368162491401
"SPG21",425.210516137866,487.784281122161,264.094200182935,353.60991419941,322.55980132735,482.198232457505
"STX11",21.3070357317999,35.2184133483598,21.7765166248834,21.9846158153946,49.3236701536065,26.4790105276005
"PFDN4",54.5929584399608,152.363126408551,38.06468310872,53.1467028051619,116.936893903314,56.1168352650322
"CREG1",68.0815647867144,39.0051786197862,132.591708515901,154.057952531193,19.4805321889622,25.3449094174376
"TXN2",56.2692353957338,51.1068862001487,51.14624400878,36.8282633097448,38.9391086928052,64.5272000880788
"JAK2",19.7157211464747,48.3120900935496,25.3409061126259,26.9741470602861,40.8313858474509,35.5492843702047
"CBFA2T3",22.5401759299052,28.9261857300984,22.7349332320467,26.6260804231167,33.5273393915082,35.6857936098873
"ATP6V1G1",140.059314890506,52.1807632722735,141.293948572561,74.6778438744746,43.7990515476415,94.9156469579643
"TST",206.767988067206,60.8885699020819,83.0817826490657,88.1335453181055,67.2205708530031,39.3081098789847
