"SrNo","V1","V2"
19001,"A4D1U3","P17542"
19081,"O95140","P45984"
19082,"A0A024R9W5","O95140"
19090,"A0A024R763","Q9UNS2"
19195,"P23258","P35268"
19326,"Q06265","Q8IUH5"
19334,"Q9BW61","Q9UNS2"
19397,"Q14204","Q9NRC8"
19429,"P05023","Q9NRC8"
19454,"O00159","Q9NRC8"
19460,"Q7Z2W4","Q9NRC8"
19486,"P46821","Q9NRC8"
19508,"O00295","Q01844"
19537,"Q5SSJ5","Q9NRC8"
19540,"B2R4W8","P23258"
19596,"Q969R8","Q9Y664"
19609,"O00268","Q9Y4A5"
19610,"A4D299","O00268"
19617,"P32121","P34931"
19660,"B2RBV7","P34931"
19662,"P34931","Q93034"
19666,"P34931","Q13617"
19669,"A0A090N7U0","P34931"
19673,"P34931","Q96GG9"
19698,"P34931","P62993"
19699,"P29353","P34931"
19700,"B7Z240","P34931"
19701,"P34931","Q96CW1"
19709,"P25786","Q9Y2Z0"
19711,"P34931","Q9P035"
19712,"A0A024R3I5","P34931"
19713,"P34931","Q8IYS2"
19715,"P34931","Q6PIW4"
19718,"P34931","P35658"
19721,"P00387","P34931"
19722,"P25705","P34931"
19723,"P34931","Q96DA6"
19726,"P34896","P34931"
19727,"P34931","Q9UJZ1"
19728,"O75306","P34931"
19729,"P34931","Q9UKB3"
19731,"P34931","P49821"
19733,"P31040","Q9NRC8"
19738,"P34931","Q8TDR0"
19742,"P34931","Q9NPI6"
19743,"P34931","Q8IZD4"
19763,"P34931","Q9BUU2"
19765,"P11441","P34931"
19802,"O95817","P34931"
19840,"B3KNU0","P34931"
19841,"A0A024R284","P34931"
19842,"O95373","P34931"
19844,"P25786","Q9NY27"
19856,"P34931","Q9Y2K1"
19882,"O95429","P34931"
19884,"O95793","P34931"
19892,"O43918","P34931"
19893,"P34931","Q9BV73"
19894,"P34931","Q86XR8"
19895,"P04637","P34931"
19901,"O00268","P05412"
19929,"P17948","P49765"
19930,"A0A024RDU9","O00268"
19975,"O95140","Q7Z434"
20010,"P16104","P34931"
20011,"B0QZ35","P34931"
20012,"P34931","Q9NTG7"
20018,"Q14527","Q9NS91"
20062,"A0A024R1N4","P31040"
20226,"P55072","Q8WVM8"
20297,"O43172","P55072"
20499,"O00268","P21675"
20665,"Q15645","Q96HA8"
20681,"P04424","Q96HA8"
20682,"O75553","Q96HA8"
20684,"A0A024R7E9","Q96HA8"
20685,"A0A024R525","Q96HA8"
20686,"A0A087X1W2","Q96HA8"
20687,"P11908","Q96HA8"
20688,"P11217","Q96HA8"
20689,"Q5JR59","Q96HA8"
20690,"Q96HA8","Q9Y2J4"
20691,"Q96HA8","Q9BXD5"
20751,"Q13242","Q14204"
20784,"O00268","Q99081"
20793,"B7ZB07","P25786"
20810,"P25786","P78345"
20866,"E5KTI5","Q7Z2W4"
20927,"O60260","O95140"
20939,"A0A024QZ64","P36543"
20940,"O00268","P20226"
21093,"P23258","Q9H3S7"
21134,"O95831","Q99496"
21365,"Q14204","Q9BVA0"
21534,"P42224","Q6NYC1"
21607,"P42224","Q7Z434"
21722,"P26368","Q14204"
21808,"P07437","P23258"
21870,"P08670","Q96C92"
21944,"O60260","Q14011"
21981,"Q6NYC1","Q9Y4E5"
21996,"Q9BUN8","Q9NQC3"
22035,"P13473","Q5SSJ5"
22041,"P09936","P13473"
22056,"P13473","P23258"
22437,"A0A024R3Z2","P31040"
22521,"A0A024RCJ2","Q6NYC1"
22658,"O00232","P25786"
22697,"A0A024RD37","P17948"
22774,"P31040","P32121"
22782,"P31040","Q7L5N1"
22784,"A0A024R475","P31040"
22799,"O15205","P31040"
22805,"O75306","P31040"
22807,"P31040","P53597"
22808,"P31040","Q8WXH0"
22809,"P31040","P47985"
22810,"A0A024R325","P31040"
22817,"P31040","Q9Y512"
22818,"P31040","Q96E29"
22819,"P31040","P40925"
22820,"A0A024R0M6","P31040"
22823,"P31040","Q9BYD6"
22827,"P31040","P82933"
22828,"P31040","Q8TDB8"
22829,"O00217","P31040"
22830,"P31040","Q99460"
22835,"P31040","Q13501"
22849,"O14975","P31040"
22893,"A0A024RAD5","O00264"
22900,"P31040","P61956"
22902,"P31040","P55854"
22989,"Q14204","Q99459"
23076,"P23246","Q7Z2W4"
23091,"O00159","P35580"
23097,"P82650","Q14197"
23180,"P31040","Q14197"
23236,"O43541","Q13363"
23237,"O43541","P36896"
23238,"B4DHF6","O43541"
23239,"O43541","P01833"
23240,"O43541","P56545"
23241,"O43541","Q9Y4E8"
23242,"O43541","P46934"
23243,"O43541","Q86T74"
23244,"A0A024RDV8","O43541"
23245,"O43541","P37275"
23246,"O43541","O75582"
23299,"P19474","Q9C035"
23343,"P58107","Q9NQC3"
23384,"Q15573","Q6NYC1"
23417,"P23258","Q12834"
23448,"P34931","Q12834"
23536,"P23258","P34932"
23690,"P32121","Q13151"
23694,"P34932","P43351"
23700,"A0A024R475","Q13151"
23702,"Q13151","Q93034"
23703,"Q13151","Q15843"
23710,"Q13151","Q9BUJ2"
23711,"A0A024R6D8","Q13151"
23714,"Q13151","Q59GL1"
23715,"A0A024RDF6","Q13151"
23716,"P61019","Q13151"
23717,"B2R7W3","Q13151"
