V1,V2,Gene1,Gene2
O75832,P35998,PSMD10,PSMC2
A0A024R6Z0,Q14204,DYNC1LI2,DYNC1H1
P23258,P83731,TUBG1,RPL24
P05067,P57060,APP,RWDD2B
Q5SSJ5,Q99728,HP1BP3,BARD1
O00295,Q99728,TULP2,BARD1
P50222,Q5SSJ5,MEOX2,HP1BP3
P62877,Q9UKT8,RBX1,FBXW2
P46821,Q13188,MAP1B,STK3
A0A087X2D5,Q9P015,MRPL45,MRPL15
P13674,Q16637,P4HA1,SMN1;SMN2
P05067,Q96G21,APP,IMP4
A0A024R3Z2,Q96G21,SUMO1,IMP4
P62330,Q14204,ARF6,DYNC1H1
A0A024RDY7,O95379,MED4,TNFAIP8
Q96CD2,Q96HA8,PPCDC,WDYHV1
Q15323,Q96CS7,KRT31,PLEKHB2
P55212,P98170,CASP6,XIAP
Q13362,Q6NYC1,PPP2R5C,JMJD6
P32320,Q5TC82,CDA,RC3H1
P13196,Q8WTR2,ALAS1,DUSP19
P25786,P32320,PSMA1,CDA
P32320,Q96HA8,CDA,WDYHV1
P32320,Q9BVV2,CDA,FNDC11
P56545,Q96MY1,CTBP2,NOL4L
P57060,Q29RX4,RWDD2B,EPB41
P13674,Q969S8,P4HA1,HDAC10
P13674,Q9NZC7,P4HA1,WWOX
Q9C030,Q9C035,TRIM6,TRIM5
P09651,P62937,HNRNPA1,PPIA
P78386,Q96CS7,KRT85,PLEKHB2
P46821,Q9NS23,MAP1B,RASSF1
O00410,O95379,IPO5,TNFAIP8
P35998,P67809,PSMC2,YBX1
O43172,Q9NQX3,PRPF4,GPHN
P48507,Q92985,GCLM,IRF7
Q14204,Q5VZV1,DYNC1H1,METTL21C
P34931,Q5VZV1,HSPA1L,METTL21C
O43172,O94906,PRPF4,PRPF6
O43172,P48431,PRPF4,SOX2
B0QZ35,Q14204,SIRT1,DYNC1H1
Q14204,Q9UKE5,DYNC1H1,TNIK
Q13127,Q9UKT8,REST,FBXW2
P41743,Q6P1M3,PRKCI,LLGL2
P48431,P56545,SOX2,CTBP2
P62993,Q14204,GRB2,DYNC1H1
A8K5I0,P23258,HSPA1B,TUBG1
P56545,Q13363,CTBP2,CTBP1
O95817,P49759,BAG3,CLK1
A0A024RD99,Q9NVV4,GRSF1,MTPAP
O43541,Q9H0M0,SMAD6,WWP1
Q9H6S1,Q9NVV4,AZI2,MTPAP
P54577,Q14204,YARS,DYNC1H1
P09661,Q14204,SNRPA1,DYNC1H1
O94992,Q14204,HEXIM1,DYNC1H1
Q14232,Q96HA8,EIF2B1,WDYHV1
Q6NYC1,Q9GZZ1,JMJD6,NAA50
Q14204,Q96RQ3,DYNC1H1,MCCC1
P36776,Q14204,LONP1,DYNC1H1
P14866,Q14204,HNRNPL,DYNC1H1
Q14204,Q14315,DYNC1H1,FLNC
P09601,Q9NUX5,HMOX1,POT1
O43541,Q9C0C9,SMAD6,UBE2O
P04424,P09601,ASL,HMOX1
P23258,Q7KZ85,TUBG1,SUPT6H
P09601,Q86TM6,HMOX1,SYVN1
P09601,Q13200,HMOX1,PSMD2
P35998,Q9C035,PSMC2,TRIM5
A0A024R475,P35998,CUL3,PSMC2
P35998,P62195,PSMC2,PSMC5
P28074,P35998,PSMB5,PSMC2
P28066,P35998,PSMA5,PSMC2
E9KL30,P35998,PSMB7,PSMC2
P35998,Q8TAA3,PSMC2,PSMA8
P35998,P54727,PSMC2,RAD23B
O14980,P35998,XPO1,PSMC2
P35998,Q15436,PSMC2,SEC23A
