"","GSM571695","GSM571696","GSM571697","GSM571698","GSM571699","GSM571705","GSM571706","GSM571707"
"SLC39A11",78.811376824779,131.366626735757,157.972212640061,114.305974379698,97.9528116990852,126.62890943076,158.163292611362,83.828447156698
"SCG3",118.20014540206,88.2590920007986,96.6588550067558,84.8087373620084,163.800392073455,69.4803443951543,128.454622766481,163.310076491543
"C16orf59",214.019879629022,185.582903421862,175.749527449626,196.535620115046,164.556476734046,204.847006479204,188.945978162338,184.174178839273
"LRRC29",103.647247937303,95.4994818202291,84.3425654696272,104.984461237222,80.8070353762397,97.8134531275798,97.6864123511901,93.6477222641624
"C7orf72",24.7353429985764,21.7392610993697,19.1672306338729,25.9554392879425,20.0276743862333,21.6811443453308,20.8113694974843,21.8990897591633
"PARK2",72.6698991971321,63.0469642298056,65.1519294867166,77.4635116839586,102.342743283458,68.242093473193,70.2827141142059,99.3576399223428
"SSTR3",12.0061775249105,11.9185597120738,14.6904735799406,10.3273986716653,5.13564685099456,26.8787100957282,8.55266480988363,6.06074859679911
"FTSJ2",115.280365139066,144.043225455381,143.726771247945,133.03859246278,144.810258726811,126.001229398877,156.109335031632,139.829601794783
"RCC2",128.858419989093,151.202271186397,124.946441193673,146.601494439919,141.737726204502,131.345139181263,136.252038090275,135.023620639182
"ZNF268",49.1825625413503,60.2306949534612,70.5498935067264,54.6622901629025,75.3355023739205,62.7243625981014,59.5316922526083,68.5243579291785
"HIST1H1PS1",45.1881002211125,68.0795218822583,33.3739143099886,59.2082373602748,49.8368161881084,43.1889698363174,55.2609324239731,44.8667257862355
"SLC10A7",49.4109880532403,82.0738087487819,80.6368848019431,48.6162260509438,74.4627503847951,72.0605620865061,64.5913916970543,68.007266508006
"EIF3H",40.8233027181367,48.4045915612519,48.232844851748,47.2238578797576,55.4435219545831,45.7886777668386,46.006346908224,57.2785473681084
"ZEB1-AS1",104.854647676139,83.0236238751923,77.9708523207713,80.4583919900351,75.2827278719532,85.1286000368388,93.8897655224194,81.0878581094786
"INO80B",156.965425068156,144.361276993911,147.009135484769,141.951176890524,174.022495273836,157.864065657533,163.347888973351,150.413369863679
"LOC105376480",14.2918423502339,17.3005620152444,21.194852187685,23.9851739922003,18.8900157566063,29.6710689880638,11.9568130333324,22.2302766911752
"HNRNPH1",148.956885172539,214.567684268983,316.426145326959,181.833473789004,273.244756315752,235.130030555863,211.54796537642,242.91958510104
"OR11L1",10.9899810992042,9.77883093198876,9.24760643440708,10.8981700331124,8.6461807718481,9.61306840638024,9.30557307472368,9.78949880661128
"PA2G4P3",4.12013040375751,3.26767159919164,4.77091174900991,4.20621618055989,4.00401394850759,5.05484901351349,3.82187077825567,3.81157694406288
"RTN4RL2",253.575227311937,185.272121442721,178.360334475707,199.138726643192,137.257388434928,228.064960449756,191.359803105227,169.726849956509
"DNM1P31",83.1089532243038,94.6804068263645,102.82327082002,214.966196024771,135.323257408379,138.323263290745,74.7518303494127,134.180387039866
"PRKG1-AS1",8.7706210262595,8.02551514779397,7.91882292392845,8.38815197409525,6.70216869528832,7.68290545437529,9.08614293027992,6.44138087439637
"FERMT3",133.980292834142,111.744498891546,96.941802326721,118.75842047222,105.466499341843,111.04826173609,128.996758226305,110.284405934356
"IFNGR1",57.7449148513356,122.5495180237,126.961740421491,66.3619787767344,116.076490824222,111.643697473476,87.882743316048,96.3926340223661
