,GSM503950_C_1074p_SNc.CEL,GSM503951_C_1271p_SNc.CEL,GSM503952_C_2829_SNc.CEL,GSM503953_C_3132p_SNc.CEL,GSM503954_C_3397_SNc.CEL,GSM503955_C_3543_SNc.CEL,GSM503956_C_3603_SNc.CEL,GSM503957_C_5220_SNc.CEL,GSM503958_PD_1364_SNc.CEL,GSM503959_PD_1401_SNc.CEL,GSM503960_PD_1647_SNc.CEL,GSM503961_PD_2515p_SNc.CEL,GSM503962_PD_2525_SNc.CEL,GSM503963_PD_3769p_SNc.CEL,GSM503964_PD_3790p_SNc.CEL,GSM503965_PD_3803p_SNc.CEL,GSM503966_PD_5138_SNc.CEL,GSM503967_PD_5476_SNc.CEL
SGPP1,15.7599543586491,11.3889057504222,7.40448693521443,9.48960547874531,9.00472995813429,8.69045896167378,12.3487009458331,6.88151397693579,8.89074941147384,4.49378879020344,2.87993303021909,3.01604263013431,2.59081909531396,3.80451064318681,2.43426415441751,3.8090901002532,7.47608668587957,7.97722825518232
ALDH1L1,5.3832556688677,4.70936488483829,11.7829965675556,4.67581633680024,3.69531870182912,5.07254913143333,5.16751194909625,3.83232706249039,11.9729683898256,7.74543839066569,10.6663163511776,11.7931143742787,7.8322900011013,14.4473479624947,11.2969634617297,10.467995037438,7.33892278157856,8.39582412018219
COX11,44.146459017033,33.9992815551002,30.508236881878,18.9373460918025,40.0988856919879,32.9901849666334,58.2611855172563,92.9260793224368,29.2654065478157,14.6781191244834,5.59531872800471,9.59758646256365,16.566401437907,7.88261313354141,6.70028930750394,8.90616960484901,15.5602519600621,43.4863866016468
FECH,19.2289047218157,27.5150381820079,10.0231801753709,10.2324771440082,14.7040091726837,8.40561734273292,7.35456116168277,28.7922801187712,4.44663128632508,10.4339980108977,6.3183528790244,4.73651094423394,6.05985197173438,4.78090668212576,6.92325605605825,5.1126960926767,8.31653143315362,6.18244147723807
SPAST,23.6734401753876,10.5909912770896,25.720796492435,9.99831898344203,20.3506669293395,16.8759206987603,15.842446319996,37.6675702257847,8.20111381364112,7.21886626531745,10.177046069442,2.33569975018288,10.0418140978613,2.78094712790143,3.90735231847348,7.61224257130726,9.63563677380428,13.1141480694622
F8,13.1272137735133,7.38907536714895,3.4692329159779,8.4229368919708,11.6334410981123,5.69496317186911,7.45660624265472,16.8377804259827,4.41167666510399,5.38335653029071,3.82902075723765,3.0449950537175,2.97440281923922,3.53583671940505,2.2412061486404,3.51098825849887,5.36675554610167,4.69418802136518
FAM134B,19.2048535936901,25.0313646363436,6.6535962362368,8.14494851573382,3.73129519306947,5.0808626767479,12.8898422608517,6.34430037402393,3.60070007985569,3.88181100875594,2.70523621255497,3.49639816911688,3.33983128406172,3.43738791584572,2.47490257680864,2.34396601243618,3.08467100043293,7.39736030387358
CHD1L,19.2692215608141,16.2298918507684,16.1139558196517,28.4847401399713,30.8143120978587,42.4597824576002,29.3698507442386,74.135196378298,12.7588132794705,10.41482454042,16.5614270707891,8.78750924633673,15.5880893663381,5.78775400572149,8.03977584517402,4.78503634597629,17.1945343357751,19.0354472081207
SF3A1,95.3796714470513,57.3842991034624,42.618404735909,86.5815601527156,33.3729134107349,28.4527799339412,35.1358184544298,35.6125374262042,17.4272869152755,18.0797560883256,29.163701564786,24.6391817124137,14.7519856312779,22.4225438638449,5.3895476397871,24.2866222652723,21.6546349160491,25.7377614275512
EML1,14.3350997763472,20.1577234396563,9.01902848263623,14.7210484746241,6.10380456673518,27.6322592994019,21.5065374739336,64.0353911173998,4.95312189097076,10.7391120653559,6.32480504124677,7.38645776029101,7.61350984021331,6.75146974018799,4.30541162079575,6.37598869998567,5.12237982936401,7.967611652568
PPP1R2,171.417255575079,238.768822298052,28.7833553179929,191.986053364838,19.8711228284153,82.5670913731951,74.4085617685084,161.411218872268,21.6664587305674,8.39970594265081,18.3896990010537,14.9865634102293,25.4792952683887,19.9731468853083,26.270243764323,18.2927488229461,33.9758531985955,81.3557488136784
NRBF2,17.8885198631849,21.3166131707346,11.2566980553447,17.5930851275162,10.6625132034555,10.5903197346189,17.6118303793031,17.5328439357819,9.01680964221046,3.55393839250397,8.91305010475553,10.3507358526452,7.21889276100052,7.45660624265473,4.16943427816057,9.51092013234685,10.3424439703397,8.39817960018055
ATG5,38.5130233138031,39.5710464781373,17.1187800560702,33.6820183506068,13.4411581366222,17.1511898129542,26.0549614677168,29.1064527024427,5.67701397469708,4.54906221016422,16.8845873876348,18.4847414369017,4.42637288545737,4.80568340687776,9.83990553773637,14.5179228977074,11.1455870655226,16.7581255079462
PDCD10,55.0649335499576,60.0636559101232,13.6568282396463,32.7213971164745,21.9619707988692,36.1895081841239,23.3167779707969,57.7872081953391,34.283269111718,6.31925367568514,11.8609307024573,5.45941134736842,10.553300802201,5.29917644826566,3.69043961834166,8.08852357102421,15.5576960387165,26.9234022813215
SSX2IP,36.5601592291948,26.6693764711983,19.70560596484,23.9291245919339,22.8165232123242,9.5234133192393,4.27763487074278,17.7238733319343,8.17256545146436,10.8177695227774,5.63507616195728,6.18335291332205,4.54723961836786,3.06450831750235,3.6033989176807,3.82332357368545,9.36278791284694,9.4790377884664
GALNT8,2.62052854420196,2.7011681896762,3.77126646445007,3.09929097044193,3.47215796454274,3.62325613079277,5.09215335540822,3.08885803710602,10.8668912354437,7.88187417187995,8.11810834391962,5.44782853942556,6.96546819897294,4.68370655505497,8.25844046735908,4.16907967694612,4.36994657707592,4.87189391681449
NCR1,5.24266643372025,5.62093984583273,5.49679105495369,7.03397871714526,5.11311016220534,6.77891800000422,8.88678232505848,5.83008956598604,15.4002148111928,9.72663576740607,11.6017419216712,7.27240534929757,9.66551583390539,10.7592690798564,14.9275060757365,7.71921301587786,9.8287044107012,10.4836936214181
UTP18,45.7206768572062,34.2955520782693,15.6527817594255,39.4325397589766,6.88923965654977,15.7819545177091,15.3064614198541,44.9461826956768,6.94411832090053,8.99629933464425,6.98434321903246,8.78154871282905,7.69721795027638,8.08655664679327,7.10946560550076,12.0211576161528,12.0287215927129,13.2174309442045
ZC3H13,15.376688512648,19.2397027471286,6.4998357799065,14.8263501442467,16.1561730278267,19.6250656517458,26.4105404938167,30.7352347836114,8.07158847128535,4.0615557347293,6.61114223055615,4.1579563229843,4.68489770628028,6.91642982803367,3.76022459951796,3.97365179070272,15.5680904321958,16.7171508278029
SAR1A,85.4050226043036,162.008471162511,27.7801774194132,61.4194544880685,17.9561816725576,18.4369511881249,17.6866634567738,21.6045732561469,7.03961949319494,8.15414571317788,10.578970139125,14.1915595878044,17.5168226270156,7.75419162962544,6.61198159327306,22.6431345169042,13.2282410869299,12.3851048948805
HOXA10,18.4908092915193,19.1526663141609,25.4164870273708,25.0402024752136,34.6561343359593,47.407953806732,41.5204310520652,28.3861513503843,79.9696502472128,81.5206114006033,63.1286309814945,45.1676401689107,48.2171326762052,112.782798359575,88.370672822097,34.5232376263557,42.907540878154,44.0595105309075
GCLC,37.4275451536591,32.1582288288373,43.1954370456055,25.1363902054567,22.1252761868705,34.541576046266,19.211042245306,118.562857466,26.3708832113032,32.1506951598605,7.52330702063926,13.2166030352921,5.41439103721684,7.45657078299304,5.52205833289461,7.12887264437777,16.953318419952,15.68764607303
BBS9,18.7907706935765,15.1618843881543,7.64237402022208,11.1843157367943,10.5261791231948,14.7311178143185,5.35094638994688,19.3874157492722,5.14018454318397,9.3205583285137,7.74278594949683,4.98704534340635,4.50516703229648,4.80938165043856,3.9095941096035,3.60215856261883,4.81871236173887,9.16350504536527
KPNA1,17.5559729881055,30.8348031384102,21.1276246988952,12.7485276218513,20.6623331973142,17.7814466878889,14.1117689305351,29.7096200168235,5.62685838052097,14.4247011588592,9.27028220400286,5.21078562789129,7.25052575589905,3.2799050998248,3.48467635298155,5.59035571078882,20.5458980933766,14.8441443580948
CCNH,111.994788286984,98.4324220032101,25.720796492435,43.2830145759342,13.6013452077255,32.2495647957509,14.2971539073934,61.4687637848437,7.40235025429911,7.23541421741332,8.83916111001004,13.4335323684609,18.8203815698839,3.84437054484183,8.15169148826955,28.9843698992247,8.74188758420767,21.5065374739336
FLJ11710,9.50474059613869,8.91763680274078,7.29686945661474,10.1635330088473,13.2071206578665,10.9653775703814,11.9221434463522,6.93767296794882,15.0595026333534,14.4125164617753,20.9278087334193,29.5335853268152,25.0734721187258,35.5753680622032,53.6506122433939,26.9680204048691,11.7223483870792,10.847201007257
RGS17,9.16961798981633,8.05735374346529,4.36002324729001,10.5926149217404,5.08080048880745,6.58185855734175,14.7814803552222,6.3634397121711,3.85326751938944,4.22161822606895,3.86504567238056,5.36236213236709,3.9510963351632,3.25742153286893,3.03891370851149,3.37114579010187,4.49637856795479,5.41862654699721
SPOCK3,56.1096695590796,58.277734266912,11.1212679222432,22.3975070668693,12.0285239358832,5.46490347087425,6.85980962433252,48.1430095519167,7.20399412744946,4.46725778600313,2.48126528829194,3.23626081194946,3.7498161811483,2.5854103426363,2.65212191032256,9.03106769035743,9.5578851358294,10.6669797322777
SPAG16,25.6338283860223,31.6523036995465,15.7491129126264,28.1787516864574,32.3004405480457,42.9026600083602,26.4834525486041,122.358596288817,13.6296246448089,15.3950270815697,11.0824232883057,15.6041186776805,13.0145378186918,11.6517968931197,11.072463750314,12.4791107434078,13.1735058041883,31.309309850325
