"","GSM850449","GSM850450","GSM850451","GSM850452","GSM850457","GSM850458"
"ZNF292",129.583480252804,202.11589866804,131.295985963881,181.328011601151,144.676721446804,149.127446921429
"LINC01625",17.4491759426157,18.161808952693,25.8934267536509,18.3841172599866,18.4004864255677,18.4884067520534
"SMC1B",9.6004431419896,8.00008317809408,8.35015512788475,7.27699086674437,9.15559089824874,8.37920865453394
"KCNH4",100.744062243573,86.2958932939922,105.056892046336,84.5271557237754,101.936223455852,96.5976374856499
"LOC105376606",21.3478962515124,15.1360515271105,17.6198654208963,15.8896891895866,22.7197806314378,15.299164890358
"COX11",102.465682692388,135.903330353012,110.771581917878,134.464730528761,103.520451178257,122.763851208795
"KDM2A",92.6904629188333,131.408792617897,106.405580091116,132.580519428281,99.3685218941545,115.518011250853
"FBLN2",553.019292258518,336.765140846471,412.366978770747,339.935918838748,428.337150461564,437.432317375957
"SAPCD1",65.8792396920674,62.7771661506861,62.4087754887593,63.4221552633321,61.0031146730618,59.8822282191666
"PEF1",143.289590866719,150.20635061386,149.690722614848,189.120113993787,145.312600634071,151.079803265012
"LTA4H",54.558761877506,77.4120366178001,58.7888641916216,103.702437894448,61.3834147572646,69.6729140618445
"ARFIP2",93.5856224096525,75.6150235878663,128.342572873874,98.5342240444887,114.102690497827,69.9081135651298
"GRIK1-AS2",22.6343818235039,17.549779510524,20.6700933622421,18.6405561625932,16.2731428264331,21.2231368204184
"IGLVIV-64",26.7977505813801,26.6447797040638,50.663575801914,20.0097189687474,21.4490522953308,31.7892263252984
"ELFN1",255.517979567633,239.969626170687,274.884166713079,234.870872750442,234.533793092967,241.112226527653
"ASIC5",10.3529643023285,8.90490363998635,9.03951268584154,8.72430979425922,10.582906500262,9.01061763928279
"MON1A",129.070366727082,111.939934620307,120.935752123033,118.407117965038,127.172330465536,125.631810789176
"GPR88",198.894283297595,148.873173728137,180.86695041386,144.677423424338,188.276352671749,167.667702275782
"TMEM114",167.804547140591,115.754301846736,127.856792785209,105.972050318653,136.62180996256,136.197838754028
"LOC105375929",7.09616226733426,6.91194625678614,5.94615882954872,5.88897684103466,6.5012403888244,7.13333140107903
"KBTBD11",329.754148657051,248.001837556657,271.249186392849,308.285665686711,324.103771781971,287.543616526224
"DCAF4L1",110.691604991297,132.072931075319,106.52741884876,164.731312312986,118.955403759587,117.39913756772
"LOC101929090",10.9757909231124,5.24436464200639,7.87026929005699,5.0761123471256,7.82941220008613,7.46443467075266
"SGPP1",269.331843190988,264.539619964587,240.01354243593,303.903609542018,297.781847283498,270.844690685973
"RSPO1",107.909195549635,94.7857975076845,85.4486622079247,73.7889049031425,94.577755542944,96.2920642134432
"ARAP3",123.393535117714,112.763628775067,112.059643674216,108.542632960348,101.957634716392,114.674674328177
"SLC22A11",158.887850309851,144.690360477229,169.057240960916,127.53372558514,162.928705903656,153.551415339806
"DKFZP434K028",118.682466121287,109.727474878409,133.360813530701,106.130683155296,110.967854295663,109.419571435208
"LOC101928058",122.380085331253,130.371526031768,122.186323421221,107.183201199599,112.620761439003,144.422028385859
"CXCR4",81.1621400008189,98.7394018266916,64.3719380634095,97.0771601456028,75.5807012968445,109.175475168342
"EDC3",77.489074061334,95.7858072469632,97.8966101761488,99.6696253239232,97.5642703093027,97.8468838050394
"LOC102724188",9.38712909584242,7.6296506511678,7.78833532337421,7.57992198610096,8.19371095180524,7.07301342683007
"LOC102725201",41.5255968738883,42.2439841305871,44.3640140147843,46.3275987020761,42.3659407547952,49.9475497109232
"SIK3",158.104322430521,259.895347949884,265.539376113473,338.152919654894,260.319035387592,193.411531110765
"LOC102724484",60.696061519898,66.2465767030757,64.9477661252787,51.3990218737238,63.3973661682187,64.7989710740003
"LOC101928896",52.9013634163849,35.4460018008546,44.9212447596171,40.8234442011677,46.6532926285588,45.1674011185135
"BBX",121.170021698509,119.440475182882,88.4191524402995,146.176440678111,118.770027745491,132.614893665778
"PHACTR4",104.422080641928,128.587446988174,84.5433866453371,140.895233917143,127.488561366931,114.958712574882
"LCE5A",174.709106655466,182.445404242411,185.482079986698,152.714157032197,149.843635759709,178.902284520438
"MS4A8",27.6592091213257,27.3399177954266,29.0873709535635,25.7736507605997,25.7114666046679,26.3951141485235
"ABHD17A",173.347113092519,150.772969924029,144.189869803403,128.209290649314,163.889543483065,150.840601672951
"LOC105377031",80.1231924326781,88.2972744190526,92.9266181413872,81.3540915372948,82.7806688403433,79.4220668284491
"LOC642574",312.088632642719,238.986779201917,289.452939999701,228.292713015824,284.557816680469,278.916601907718
"CIB1",165.06083116704,149.042089994364,184.497697297546,154.512848494636,177.91310838299,166.286242081473
"IL17RD",51.0648619503932,94.7339083143294,42.3029098811819,89.1725025095472,96.1499365227727,33.1856815791875
"LOC105377278",35.8488019392036,25.3719412228805,19.5382452760163,21.6623221554111,28.7308744869033,25.3625693552771
"PRSS41",165.539649768562,121.661846879606,154.633275964221,108.788179707147,137.806678826815,153.304793782384
"LOC100996351",91.9233200181771,100.935929337513,106.255889629366,95.0389505222432,86.6613015963222,100.174604247176
"ZNF275",170.303939754172,162.796965713499,200.827635614094,176.001998437731,158.034857910498,177.189708284639
"CCND2-AS1",126.843782997104,142.229409599989,143.164600555568,124.580201433107,150.753846198739,132.733249599657
"TATDN2",171.577908442442,172.114877717117,162.460029360712,177.582671464604,180.671232479539,178.99742211388
"ZNF594",96.0707935965112,120.838217690038,92.9347343855482,117.02062350663,102.489194266925,124.096963095511
"RAB28",37.9667867726867,53.8661854947412,35.8500692348988,49.5190248655782,36.8542986861167,44.8795716128039
"ZNF343",81.0068498080938,79.6007434438588,82.1206988630332,85.5683875741081,88.2242282602335,84.5221171546214
"LOC284825",24.3565518387248,19.8348832423558,25.4946742606074,21.5021199384426,21.1891674743374,21.6660011862847
"WBSCR16",211.132081135191,174.714677304012,210.953322520997,217.177825952403,199.450509694162,184.253089503655
"TCEANC",44.561503353248,49.128285940516,53.155755332327,53.7442311309486,54.0625628605434,51.5865836047513
"CAPN14",45.3347995222987,39.2210702858561,42.5574852960393,38.7021819566859,39.3206972710942,39.1190112257437
"APCDD1",165.419671732555,156.988274760911,162.463069824369,198.344007463973,183.379937408174,176.479402335602
"PKD1L2",82.4921538255508,74.6590890164791,78.7143628349712,72.4870313184984,71.2161727322972,74.9551655448301
"NRP1",74.9512170717456,71.5562064562992,73.86018648466,85.9417351453961,73.6908198809751,71.081045678347
"FAM171A1",534.244744286912,485.836812901441,516.446108314555,627.177502845247,627.061876304484,520.396338107625
"SACS-AS1",34.5172350699475,32.5503465921003,30.6281006861189,21.9934496185265,29.9787016971575,33.3406193592939
"LOC101929199",42.3635915533386,37.4987863926791,41.7122722740792,30.970440546298,38.3269422923134,42.2419930492135
"LOC105369488",18.8031048434074,14.9295316220314,14.4302761138294,12.5838894790246,14.7793303757916,17.4092723589808
"SLC25A2",91.8938877588082,86.7784552653694,75.1902659943611,68.0927361205555,83.7962629162288,85.8921274322295
"LOC105369169",21.5657053800468,21.9861638601179,22.1369107486765,22.9016398546724,25.4398101653257,21.4405795796293
"LOC102723741",73.6640595630314,76.4575464922326,83.1254880023139,62.6577908571585,71.8897409523515,84.8630132193471
"MAP3K1",107.900444660786,127.442088094226,91.777843303229,133.500468997869,105.250625721251,108.486671792332
"GNAI1",227.684615091929,286.006276988898,150.928976304759,333.806907819741,252.010493966369,274.653335042463
"WDR55",126.759670108086,122.669518870255,127.29959331215,144.62518554545,138.295173777893,136.077902650023
"LOC102723915",128.693466271488,145.014062522562,153.911156358862,125.31601602578,113.840729367414,147.680036045324
"FAS",48.7651976828103,45.1012026753316,50.0988645093992,48.6508464233654,44.5248238930057,46.8870952873549
"MGC4859",64.9018636257639,82.4415657479917,71.0396219974085,103.122118711044,60.9333434931672,88.0850330725857
"LCP1",56.7753976355634,56.6452861816133,53.412666350993,114.987083332599,58.6169094712314,94.0411971768321
"KIRREL3",135.631079890046,157.001115571681,141.192730384795,154.703175477698,156.082934818315,153.63690541505
"LINC01089",115.902590365566,121.903015166642,109.388858979968,124.450998911818,116.549257233579,132.44008210427
"SLC10A1",41.8984509166209,40.196472610291,43.7636147365642,38.2245867650765,47.6896073727763,39.3084344199818
"NUDCD1",37.6530806205062,42.649797896936,36.7882973147697,49.6856729458621,37.5757240834138,40.4373345725693
"LINC01559",18.5935842816765,16.7155393367348,18.3705510804076,16.4437564024683,17.7080199648676,19.2412150418686
"LOC105369482",12.8826635230174,8.27214227958031,8.88661508126631,7.77161805619362,9.96737771089416,9.95270029225387
"CD300LF",54.7659389772141,57.5365575039163,69.4662830675935,52.3507753688603,56.8931872367897,67.0910305859674
"LOC105371074",30.9141835689953,28.1850065961284,32.9648360260545,22.4993434831532,29.2277121705107,31.2448173207827
"SLCO1A2",68.3833407616266,75.3903518519688,47.3934900621057,109.152094198433,89.8915125809818,69.7153287336665
"RYK",84.496050286093,88.556051981188,75.6476310922547,81.5628905741348,83.8375702090252,90.1291575144731
"GPR89A",13.8307261624571,24.2804288815651,15.0605337983941,22.7974096069463,20.4790232171269,19.5740040753872
"LOC100129603",81.8858347668429,62.0770459173713,63.2682155155813,55.0059965741061,71.5441053278547,66.7877218884268
"SYNCRIP",101.796277818496,104.871801489138,86.4554496052241,122.453567921593,102.652361033563,91.6518438465018
"TEX35",56.4715372765828,48.1463992032716,52.6536631911166,43.4164842496938,53.2390159444775,52.4629853557286
"LOC641367",70.2434110817347,57.2438182451823,75.7867639154876,62.6422444626874,66.1489797440605,58.702050770208
"C17orf53",118.342297601647,98.4419956643261,117.513932237651,88.8436647906953,113.280835428617,109.752880953998
"TRAV28",55.2823868049186,101.653705830675,104.602534643835,51.5226895205806,69.9722995672786,64.1828968053051
