"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"204353_s_at",0.115942221285092,4.39217129493053,0.886601128042378,0.384230620067058,0.77654944521913,-4.70578481641982
"217578_at",0.109730896548077,3.9113147529948,0.886567181387103,0.384248531429298,0.77654944521913,-4.70579770953119
"202631_s_at",-0.190069942511447,5.2729870555795,-0.886272594548296,0.384403987886019,0.77672324753917,-4.70590957647475
"211601_at",0.0964057000143963,3.87050647701373,0.886272070111856,0.384404264672952,0.77672324753917,-4.70590977559541
"221975_s_at",-0.151115165368489,5.98357502598975,-0.886127514199978,0.384480563304008,0.776755281196392,-4.70596465727297
"206365_at",0.118351138189173,3.9848866384147,0.88610991256226,0.384489854367851,0.776755281196392,-4.70597133931019
"215403_at",0.137356132231611,4.44722924705354,0.885934599563872,0.38458240170532,0.776871795682754,-4.70603788615111
"203771_s_at",0.178398559957002,4.82447233268215,0.885678903740623,0.384717408955252,0.776900274889915,-4.70613492419143
"218024_at",0.19562454246324,9.46364623112409,0.885666491580532,0.384723963353829,0.776900274889915,-4.70613963403714
"211515_s_at",0.166318103500016,4.95505342759729,0.885630874851142,0.384742771623115,0.776900274889915,-4.70615314862369
"201844_s_at",-0.25252213591595,7.47838049671599,-0.885551123099551,0.384784888621329,0.776900274889915,-4.70618340824816
"211961_s_at",-0.241412630031605,8.6524586781856,-0.885517146610119,0.384802832558797,0.776900274889915,-4.70619629895535
"203110_at",-0.156158191925564,5.5321648287352,-0.885501733888191,0.384810972629313,0.776900274889915,-4.70620214640778
"204928_s_at",-0.126025249764636,5.93009629811453,-0.885432172865975,0.384847711961925,0.776900274889915,-4.70622853611553
"217702_at",0.164109783223876,5.2124318736147,0.885379569579016,0.384875496417161,0.776900274889915,-4.70624849124636
"210846_x_at",-0.0968619631224358,4.16073649368508,-0.885153133444251,0.38499511230183,0.776971337450643,-4.70633437794596
"204430_s_at",0.275244681333814,6.00065814762144,0.884941303905873,0.385107034087225,0.776971337450643,-4.70641470652031
"220358_at",-0.164840653233805,5.99505470543268,-0.884894970623928,0.385131517458922,0.776971337450643,-4.70643227441271
"211558_s_at",0.164860312529791,5.81832021191616,0.88479874878538,0.385182366111403,0.776971337450643,-4.70646875558646
"214086_s_at",0.219750476749156,6.52064497169751,0.884779748476866,0.385192407384651,0.776971337450643,-4.70647595886794
"56829_at",-0.165374463593092,7.15700496295242,-0.884730020739788,0.385218688279658,0.776971337450643,-4.70649481068714
"212690_at",-0.274870581084643,8.41143156649883,-0.884714165581503,0.385227067907836,0.776971337450643,-4.70650082118825
"217184_s_at",-0.118339325142925,6.04139998959171,-0.88465510931859,0.385258280845657,0.776971337450643,-4.70652320786002
"200630_x_at",-0.158778125011579,9.37411288200483,-0.88460996517535,0.385282141936626,0.776971337450643,-4.70654031990814
"217635_s_at",0.154584546762433,5.94499196683352,0.884416916767131,0.385384189177421,0.776971337450643,-4.70661348673763
"204271_s_at",0.292916096858944,6.11666814390981,0.884346996250986,0.385421154169917,0.776971337450643,-4.70663998360874
"205506_at",0.139432623260216,5.13264956175122,0.884319335599332,0.385435778208042,0.776971337450643,-4.70665046528722
"201068_s_at",-0.300328166224581,8.56506045368601,-0.884315715805832,0.385437692000151,0.776971337450643,-4.70665183694356
"221560_at",-0.122730717990925,7.78417772754089,-0.884278052425171,0.385457605072034,0.776971337450643,-4.70666610851207
"209919_x_at",-0.146769560651578,5.42653932066839,-0.884270356474244,0.385461674094046,0.776971337450643,-4.70666902462731
"208570_at",0.153844641721873,4.34697343782422,0.884256983953346,0.38546874451248,0.776971337450643,-4.70667409162874
