"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"216862_s_at",0.178480821925362,7.69751147728702,2.33200841559313,0.0249103673440903,0.114709178658476,-3.95633397460973
"218698_at",0.241252336078082,6.50428223390106,2.33183143118491,0.0249206708303808,0.114732914899458,-3.956696565421
"AFFX-r2-Bs-thr-5_s_at",0.130003157868031,4.36371341798136,2.33104322905163,0.0249666040722677,0.114920644193832,-3.95831111681991
"222017_x_at",0.13473391042848,5.97406517534065,2.33022728841333,0.0250142339673425,0.115116103984778,-3.95998205573354
"214327_x_at",0.115082487825207,11.6912596761082,2.33005055840731,0.0250245611990222,0.115139850753213,-3.96034391758747
"219587_at",-0.174991984006238,4.58581353026612,-2.32996017828096,0.0250298440498442,0.115140382940272,-3.96052896659104
"205095_s_at",-0.331769472001952,7.16340839816862,-2.32862379735373,0.0251080745612503,0.115464317627138,-3.96326451327752
"210216_x_at",-0.121729931845173,6.81305040615641,-2.32848928830183,0.0251159607583754,0.115464317627138,-3.96353978544027
"219060_at",-0.212588419173738,6.57649553091251,-2.3284762323319,0.0251167263417584,0.115464317627138,-3.96356650378692
"210567_s_at",-0.0817178344205182,3.57351302567396,-2.32840353441808,0.0251209896269069,0.115464317627138,-3.96371527413381
"217845_x_at",-0.191174347429693,10.3137050359007,-2.32782480010666,0.0251549520371792,0.115574631996139,-3.96489948211625
"214325_at",0.128890370997149,4.47234441947792,2.32774636793352,0.0251595579201367,0.115574631996139,-3.96505995324823
"210612_s_at",0.387348823526275,6.2904080209048,2.3277294726167,0.0251605501868361,0.115574631996139,-3.96509452029856
"206551_x_at",0.187644323316912,5.85536790173414,2.32739072656735,0.025180452260716,0.115642213051429,-3.96578753951157
"215931_s_at",-0.14099636973343,4.15148360078225,-2.32708614532419,0.0251983591558244,0.115678027554218,-3.96641059834671
"208074_s_at",-0.256225416475724,8.07637096148826,-2.32692577603098,0.0252077921619234,0.115678027554218,-3.96673862904971
"222128_at",0.127550335638945,3.79089497334301,2.32691413144626,0.025208477226081,0.115678027554218,-3.96676244704545
"208299_at",0.152166961143777,5.76101813058652,2.32690497498939,0.0252090159225995,0.115678027554218,-3.9667811757269
"219888_at",-0.11311532029541,5.13566857921475,-2.32666940177335,0.0252228788224477,0.115717811159276,-3.9672629997885
"211586_s_at",-0.207670713326454,5.21376037217033,-2.32630675421193,0.0252442331238585,0.115791940448526,-3.96800466062223
"44563_at",0.0992435537977037,7.11464950106555,2.32566234142073,0.025282219103326,0.115942310821036,-3.96932235298765
"217271_at",0.108957069143297,3.82317388185686,2.32515636884048,0.0253120804829076,0.116026055559094,-3.9703567709701
"206738_at",0.140751252178005,5.77643272582055,2.32510209718617,0.0253152853568194,0.116026055559094,-3.97046771470434
"222357_at",0.132955841968093,5.5685809012419,2.32508828329471,0.025316101159104,0.116026055559094,-3.97049595316214
"209362_at",0.225520608661264,6.80308308201133,2.32485727660986,0.0253297471432161,0.116064724571722,-3.97096816000945
"212498_at",0.187614441324503,9.48067194752324,2.32464619880768,0.0253422216701027,0.116097200499168,-3.97139959883844
"203098_at",0.170963091125137,7.2183306111867,2.32456105982185,0.0253472548771913,0.116097200499168,-3.97157361288978
"208674_x_at",-0.167030006033123,6.56985891333436,-2.32408779875128,0.0253752492818558,0.116201537145005,-3.97254081530997
"212555_at",-0.271814843278702,6.47015848034269,-2.32324376556675,0.0254252446052801,0.116382079601441,-3.97426539586709
"203516_at",0.284371019175321,8.61605189282078,2.32321650952901,0.0254268605589421,0.116382079601441,-3.97432107922254
"219069_at",0.165872988361341,6.72366664992852,2.32315776756209,0.0254303435614331,0.116382079601441,-3.97444108581655
"209539_at",0.201426498431032,8.42963402552318,2.32249573157838,0.0254696274776143,0.116519179338084,-3.97579343082696
"204643_s_at",0.199209254138944,5.72144013353951,2.32247667626562,0.0254707589891759,0.116519179338084,-3.97583235093653
"203270_at",0.178630885328829,5.67267721806599,2.32190760224297,0.0255045716348376,0.116649911687004,-3.97699456287198
"213320_at",-0.204594581829946,5.54981523004853,-2.32162444934109,0.0255214107359023,0.116702974641517,-3.97757276219535
"48659_at",0.112364591357529,7.69541261023294,2.32120155754142,0.0255465787041502,0.116781787017027,-3.97843621001599
"211803_at",0.101637866958538,4.62318772148334,2.32115874882724,0.0255491276627029,0.116781787017027,-3.97852360896514
"220733_at",0.130077674520538,4.4993457306865,2.3201282338521,0.0256105565774029,0.117038562800301,-3.98062715829587
"218851_s_at",0.166537402046952,4.02082356192086,2.31943098598611,0.0256521946728863,0.117170998137654,-3.98205002358518
"219669_at",0.221150363880623,6.25346683498554,2.31938133443514,0.0256551620709084,0.117170998137654,-3.982151334616
"201751_at",0.126128401698251,7.58729777011463,2.31932559103932,0.025658493912064,0.117170998137654,-3.98226507374615
"210605_s_at",0.143138783144159,6.8100913778936,2.31926839562274,0.0256619129459346,0.117170998137654,-3.98238177344663
"218899_s_at",-0.22400698995962,10.2811692421397,-2.31920291348347,0.0256658278467841,0.117170998137654,-3.98251537844898
"217594_at",0.0668740717306055,3.14062256915128,2.31903331873358,0.0256759696949868,0.117173876266223,-3.98286139404908
"213306_at",0.197023879671644,8.29980470563641,2.31901650811316,0.0256769751742569,0.117173876266223,-3.98289569087005
"220145_at",-0.126288222871969,3.56479461095588,-2.31876516222531,0.025692012928355,0.117201954308533,-3.98340846131788
"215603_x_at",0.146797539825103,5.73558691522369,2.31873784976114,0.0256936474800154,0.117201954308533,-3.9834641789209
"205672_at",-0.204002562499982,6.09930516145093,-2.31811986499401,0.0257306565912746,0.117324348511441,-3.98472473963228
"217049_x_at",0.106891379376803,4.12187946495389,2.31803813355972,0.0257355548052958,0.117324348511441,-3.98489143584144
"211049_at",0.103622363427331,4.91426153672832,2.31802611781849,0.0257362749864885,0.117324348511441,-3.98491594229977
"217981_s_at",-0.177658361132093,5.92407366892896,-2.31787635644442,0.0257452526741323,0.117329916949997,-3.98522137700211
