,C_GSM208622.cel,C_GSM208623.cel,C_GSM208624.cel,P_GSM208625.cel,P_GSM208626.cel,P_GSM208627.cel,P_GSM208628.cel,P_GSM208629.cel
SNRPA,224.75605457748,216.927744655666,191.842073345323,198.730580106684,207.130140341526,217.864185024853,174.120846098467,217.465605398705
ROCK2,156.996777797575,230.967885651206,214.508210475386,205.569999749188,200.539329502149,239.647540556873,219.991191065248,185.207156815702
CEP83,16.2885761856312,15.9213059494234,15.4786315335794,15.9661964224655,12.8856043876916,15.4794797980755,16.2130957286597,16.2264148791755
ZNF205-AS1,21.0370376745906,27.787174219346,23.1663870811399,22.6433674581476,24.4244678296944,22.9580561072115,22.3654418968952,22.227258470484
FANCG,54.7619421832503,44.3305285574863,41.651153428327,47.2679721500256,32.2231185846427,46.9320735990619,50.4866919246918,44.499634491043
IFT22,49.2317027012039,58.9736729249947,49.8199628116357,76.4487878287923,64.8898661859152,50.1455333025489,57.2724428261981,40.6549982646759
NR6A1,84.8038010153164,101.112152638246,83.4240840331674,84.2509247901204,89.5115085427596,89.9300241545097,111.011156903986,94.8967137415625
C7orf55-LUC7L2 ,24.0772839125828,16.0698923456583,20.2318575700825,17.3926717393147,30.5245276660947,18.8164263485421,20.3488462401179,22.3173604073377
SEC22A,12.6275784774076,11.5161936547819,12.3736697016765,10.7996234524629,11.8863032592012,11.4214094173208,11.3012508850607,13.4177720805316
HAVCR1,12.798985377856,13.8786199956195,12.562311818145,14.8648484732679,12.2400707529062,14.7832107581977,13.6279981915776,12.5473727950518
CSH1,20.8635215658619,22.4528447892285,21.9343610364948,18.1397530711052,25.0731271382909,25.2342414297369,22.6655633887381,23.5184334556123
HOXD13,11.1700759717033,12.3365204861481,12.1431176603026,12.2706699386765,12.2003782661928,12.2232418166687,12.3552894010117,12.0153255694338
FXN,26.4858680483646,27.4323256160394,25.3602319169759,28.4469187811541,26.2027431662102,26.7606019843957,27.7484632717989,26.8056773574427
HLA-DQB2,35.0983041262728,34.9370759669612,36.7029164957024,35.4511126555122,34.3542868606082,33.9747443020542,34.5209660567807,34.8312736438636
CACNA1S,34.4971826802571,35.5103475527606,32.3527250194626,40.0652566016736,33.5920793841417,39.7885579941925,35.0971749340359,30.3575614605149
RHOT2,118.096781248029,127.071677623671,128.688894467222,126.096778248793,127.842490177158,105.30738219473,125.438843936827,117.783138597805
ADRBK2,43.5176235748726,54.7899630554592,51.7252848959192,54.2996408368705,54.2438458597658,45.4937729459185,57.7257376890259,49.1653910342963
CRYAB,2896.47177779753,783.909964613843,1894.61733755404,1797.53594367205,1579.4255282217,2015.17997198616,2022.60090532181,1942.93427779753
HJURP,38.93237063084,56.6368697561567,40.2336001487014,47.5670911422408,48.3926579541569,42.4419101942973,51.8609718912594,45.2929768841581
COG4,183.814305559101,158.182185580354,155.148871470507,161.114746440846,177.96053923587,155.913213930013,132.313134837367,166.963639670228
CD248,79.6669496131005,93.0432949836518,87.5425476235356,127.735725259525,86.4535206339177,98.4200513300862,86.0414079951663,72.2794445658918
HNRNPUL2,78.6596018017521,96.9391627205054,76.3587406084003,101.946918580849,79.9438836934185,77.4555995805177,86.6598765542238,48.5759499543289
GABARAPL3,90.4343634430598,127.49504326351,113.129418610676,142.020092904862,104.587695349891,115.209284892975,148.021777798358,88.5852421341675
CSDC2,143.718527327411,184.375218818803,150.721454220708,174.177661298684,141.830693744985,150.361353039,170.426014521696,120.393905663219
H2AFB1 ,15.7483302511758,17.0901338987294,15.6585350304823,17.5442134926057,16.3233132262303,18.3226878525229,17.4833367396893,14.4703284655077
MAPKAPK5,19.9276711392037,20.6446939765308,22.9524376279296,18.3569809485473,23.7260471068289,25.4993521986828,22.4875385124546,21.2020191365036
SLC2A3,123.031464523877,135.969877221279,161.869202612886,145.322242592199,190.975418228,92.4885645934549,67.1163166719061,163.132193743239
CCDC53,181.719466770792,126.872234478544,135.977534617605,135.909277828152,208.45333993714,150.433785161735,136.116091046541,161.484277797539
