V1,V2,Gene1,Gene2
Q14151,Q9NS56,SAFB2,TOPORS
B2R4R0,Q6NYC1,HIST1H4L,JMJD6
B2R491,P23258,RPS4X,TUBG1
P21580,Q9C035,TNFAIP3,TRIM5
Q13641,Q5SSJ5,TPBG,HP1BP3
P20930,P23258,FLG,TUBG1
P61077,Q9C035,UBE2D3,TRIM5
A0A0A6YYC3,Q6NYC1,-,JMJD6
Q6NYC1,Q86U06,JMJD6,RBM23
P11441,P13674,UBL4A,P4HA1
Q6NYC1,Q96NE9,JMJD6,FRMD6
O95229,Q9C035,ZWINT,TRIM5
P05412,Q9UNS2,JUN,COPS3
O00468,P23258,AGRN,TUBG1
P23258,P62241,TUBG1,RPS8
Q12857,Q5SSJ5,NFIA,HP1BP3
O43353,Q7Z434,RIPK2,MAVS
Q6NYC1,Q9H0G5,JMJD6,NSRP1
Q15022,Q5SSJ5,SUZ12,HP1BP3
P55854,Q5SSJ5,SUMO3,HP1BP3
A0A024R7W9,Q8N4N3,COPS5,KLHL36
A0A024R8J2,O95379,PTP4A1,TNFAIP8
O75832,P35998,PSMD10,PSMC2
P23258,P83731,TUBG1,RPL24
Q5SSJ5,Q99728,HP1BP3,BARD1
P50222,Q5SSJ5,MEOX2,HP1BP3
A0A087X2D5,Q9P015,MRPL45,MRPL15
P13674,Q16637,P4HA1,SMN1; SMN2
P05067,Q96G21,APP,IMP4
A0A024R3Z2,Q96G21,SUMO1,IMP4
A0A024RDY7,O95379,MED4,TNFAIP8
Q96CD2,Q96HA8,PPCDC,WDYHV1
Q13362,Q6NYC1,PPP2R5C,JMJD6
P32320,Q5TC82,CDA,RC3H1
P25786,P32320,PSMA1,CDA
P32320,Q96HA8,CDA,WDYHV1
P32320,Q9BVV2,CDA,FNDC11
P13674,Q969S8,P4HA1,HDAC10
P13674,Q9NZC7,P4HA1,WWOX
Q9C030,Q9C035,TRIM6,TRIM5
O00410,O95379,IPO5,TNFAIP8
P35998,P67809,PSMC2,YBX1
A8K5I0,P23258,HSPA1B,TUBG1
Q14232,Q96HA8,EIF2B1,WDYHV1
Q6NYC1,Q9GZZ1,JMJD6,NAA50
P09601,Q9NUX5,HMOX1,POT1
P04424,P09601,ASL,HMOX1
P23258,Q7KZ85,TUBG1,SUPT6H
P09601,Q86TM6,HMOX1,SYVN1
P09601,Q13200,HMOX1,PSMD2
P35998,Q9C035,PSMC2,TRIM5
A0A024R475,P35998,CUL3,PSMC2
P35998,P62195,PSMC2,PSMC5
P28074,P35998,PSMB5,PSMC2
P28066,P35998,PSMA5,PSMC2
E9KL30,P35998,PSMB7,PSMC2
P35998,Q8TAA3,PSMC2,PSMA8
P35998,P54727,PSMC2,RAD23B
O14980,P35998,XPO1,PSMC2
P35998,Q15436,PSMC2,SEC23A
P35998,Q6NZY4,PSMC2,ZCCHC8
P35998,Q9Y3C8,PSMC2,UFC1
P35998,P67936,PSMC2,TPM4
A0A024R7G8,P35998,RAD23A,PSMC2
P12757,P35998,SKIL,PSMC2
O60260,P35998,PRKN,PSMC2
B3KXA5,P35998,CLIP1,PSMC2
O00232,P35998,PSMD12,PSMC2
P35998,P61956,PSMC2,SUMO2
O00762,P35998,UBE2C,PSMC2
P35998,Q9BRP4,PSMC2,PAAF1
P0CAP1,P35998,MYZAP,PSMC2
O15265,P35998,ATXN7,PSMC2
P35998,P54578,PSMC2,USP14
A0A024R1F5,P35998,RNF185,PSMC2
P33076,P35998,CIITA,PSMC2
P35998,Q99460,PSMC2,PSMD1
A0A024R2Q3,Q9UNS2,CTNNB1,COPS3
P23258,Q6XZF7,TUBG1,DNMBP
P23258,Q9Y2I6,TUBG1,NINL
A0A024RB38,Q6NYC1,STAC3,JMJD6
E9KL44,P23258,HADHA,TUBG1
B4DTX6,Q6NYC1,RANBP6,JMJD6
Q8N5N7,Q9P015,MRPL50,MRPL15
Q6NYC1,Q9UBQ0,JMJD6,VPS29
P63279,Q6NYC1,UBE2I,JMJD6
Q01081,Q6NYC1,U2AF1,JMJD6
P61073,Q7Z4F3,CXCR4,CAV1
A0A024R8S5,P61073,P4HB,CXCR4
B4DT49,P61073,CD4,CXCR4
P45974,Q9C035,USP5,TRIM5
Q9H496,Q9UNS2,TOR1AIP2,COPS3
O95379,P62258,TNFAIP8,YWHAE
Q15038,Q9NRM6,DAZAP2,IL17RB
O43734,Q9NRM6,TRAF3IP2,IL17RB
